steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.65,-0.013698297,0.0009640164,3.6819808,0.003936426576149805,0.6666666666666666
50.0,-48.25,-0.015931865,0.0034641793,3.6842194,0.0018951474831819456,0.6666666666666666
50.0,-49.9,-0.021950759,0.0073621217,3.6775727,0.0005273772030227178,1.0
50.0,-49.9,-0.013842886,0.0050906697,3.6781273,0.00010358724302716562,1.0
50.0,-49.5,-0.013524947,0.0042640166,3.7023547,4.223836353924923e-05,1.0
50.0,-49.6,-0.01671767,0.0052228174,3.734141,2.5653740075433238e-05,1.0
50.0,-49.55,-0.013128575,0.0032210404,3.7503223,3.0822869247003055e-05,1.0
50.0,-49.2,-0.0131476335,0.0019164017,3.7742069,3.916346653688801e-05,1.0
50.0,-49.1,-0.014391557,0.0018263054,3.7825053,3.701258583869596e-05,1.0
50.0,-48.8,-0.013417707,0.0023937079,3.7778306,4.973152052109262e-05,1.0
50.0,-49.35,-0.012448531,0.002248154,3.766053,3.625181867830893e-05,1.0
50.0,-48.2,-0.009842557,0.0011705499,3.738083,8.471824510280232e-05,0.6666666666666666
50.0,-48.2,-0.012180348,0.0026468441,3.7367468,0.00011285081177606703,0.6666666666666666
50.0,-48.95,-0.014012459,0.0036890968,3.758531,9.414112707283333e-05,0.6666666666666666
50.0,-48.65,-0.015695948,0.0072155665,3.7653873,4.1956151868463134e-05,1.0
50.0,-48.15,-0.015489865,0.0068236794,3.7515116,3.3870131099093935e-05,1.5
50.0,-49.9,-0.013479112,0.0024719366,3.748127,1.7224580325621762e-05,1.5
50.0,-49.05,-0.009672775,0.0016812036,3.7442844,6.85076042428539e-05,1.5
50.0,-47.3,-0.011436913,0.002562038,3.752552,0.00017306649684005728,1.5
50.0,-48.75,-0.012524387,0.002384086,3.7523794,0.00010495713331550316,1.5
50.0,-48.15,-0.015950888,0.0033375851,3.728885,5.53792760262669e-05,1.5
50.0,-48.2,-0.011800977,0.002911908,3.734322,4.956866719749144e-05,1.5
50.0,-45.1,-0.0138179185,0.0049214163,3.7488918,0.0002147994647057627,1.5
50.0,-47.9,-0.01355474,0.0036903275,3.758142,9.37225784566788e-05,1.5
50.0,-48.7,-0.0161307,0.00634968,3.7579365,7.421082520373252e-05,2.25
50.0,-46.95,-0.011847611,0.0021417243,3.7500448,0.00014053973339627412,2.25
50.0,-46.05,-0.013599184,0.0029596472,3.7389965,0.00039877044445585044,2.25
50.0,-46.4,-0.018863205,0.003594261,3.7533612,0.00013542375663288582,2.25
50.0,-46.15,-0.012372363,0.0022842365,3.7621193,0.00018365202747256483,2.25
50.0,-44.75,-0.014393197,0.0026305662,3.7653408,0.00019132857487857825,2.25
50.0,-42.9,-0.012280839,0.0018856239,3.7527032,0.0003250450404041218,2.25
50.0,-43.8,-0.012167755,0.0025545356,3.746021,0.0003547312695089007,2.25
50.0,-42.9,-0.0120956525,0.002560034,3.7340891,0.00038241531548564747,2.25
50.0,-44.05,-0.012975018,0.0037248058,3.7322361,0.0002526001136329483,2.25
50.0,-41.4,-0.020815562,0.005373102,3.7304015,0.0003116326087588235,2.25
50.0,-41.9,-0.014579049,0.0028823602,3.7260704,0.00040361481102240223,2.25
50.0,-39.25,-0.016078247,0.003275519,3.727544,0.0003373572916232786,2.25
50.0,-37.2,-0.013395785,0.0035375543,3.7261195,0.0005273014418520122,2.25
50.0,-42.3,-0.0155938165,0.003213894,3.7275531,0.0004374034416004048,2.25
50.0,-40.9,-0.018859753,0.0042593614,3.7345314,0.0003406182190258428,2.25
50.0,-35.25,-0.016196141,0.003931364,3.747921,0.0006289832789743661,2.25
50.0,-34.1,-0.016588965,0.0035711231,3.742375,0.0007824808337945385,2.25
50.0,-34.8,-0.016416753,0.0041038697,3.7445529,0.0007942997217118058,2.25
50.0,-33.2,-0.020134887,0.003961257,3.7380698,0.0004176604439191087,2.25
50.0,-35.35,-0.019478468,0.0066653853,3.727646,0.0004958803826600175,3.375
50.0,-29.15,-0.016006362,0.0031506566,3.7104475,0.00036610222596400254,3.375
50.0,-29.35,-0.016199877,0.002810664,3.6885834,0.00046642949859684494,3.375
50.0,-26.15,-0.014915087,0.0032572437,3.6781147,0.000344570692331412,3.375
50.0,-28.75,-0.0145597495,0.0025207072,3.6710525,0.00036452330935001355,3.375
50.0,-25.0,-0.018007152,0.0034123883,3.6621294,0.00043497178690632806,3.375
