steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-50.0,-0.051682267,0.0070281904,3.7046287,0.00296226553449403,1.5
50.0,-49.15,-0.026988022,0.0048357565,3.7090561,0.001590892695455149,1.5
50.0,-49.25,-0.019312732,0.0036238024,3.7159488,0.00034969995198054493,1.5
50.0,-49.0,-0.013943255,0.0021533903,3.7232304,0.00011522670877369127,1.5
50.0,-49.7,-0.02620837,0.0018843,3.7259932,5.420307625336204e-05,1.5
50.0,-49.35,-0.01652332,0.00178583,3.7035599,4.376024326678172e-05,1.5
50.0,-49.6,-0.018975522,0.0020988628,3.6787472,3.543236828230059e-05,1.5
50.0,-49.0,-0.0280975,0.0046562823,3.6575334,5.155686601989505e-05,1.5
50.0,-49.1,-0.020770594,0.0025265922,3.629854,9.364201440659625e-05,1.5
50.0,-49.3,-0.021362642,0.0022019558,3.6073854,2.5204697028720564e-05,1.5
50.0,-49.6,-0.019995961,0.0022280435,3.5967922,2.644353859348645e-05,1.5
50.0,-49.2,-0.0204656,0.004824704,3.5710814,2.7079586143213867e-05,1.5
50.0,-49.05,-0.027733661,0.0043505845,3.5520637,3.9570240589692675e-05,1.5
50.0,-49.05,-0.028603509,0.0071401033,3.5491264,2.2456335528788493e-05,2.25
50.0,-48.9,-0.02291045,0.0049835662,3.5363777,3.520356510756058e-05,2.25
50.0,-49.45,-0.016470138,0.0016842928,3.50662,2.7188334766321334e-05,2.25
50.0,-49.1,-0.021047577,0.0025044866,3.4805117,7.898912681032423e-05,2.25
50.0,-48.95,-0.021473762,0.0042943247,3.4634867,3.077901178500439e-05,2.25
50.0,-49.7,-0.023356413,0.004900483,3.4442415,1.5044054270251237e-05,2.25
50.0,-49.6,-0.031910516,0.010238092,3.419607,1.2172112806430006e-05,3.375
50.0,-48.7,-0.012313811,0.0013339298,3.392806,8.402375876992685e-05,2.25
50.0,-47.8,-0.012940727,0.0016371458,3.3724473,8.913749548449326e-05,2.25
50.0,-49.7,-0.033662584,0.0087588085,3.3565984,2.8723014798109403e-05,3.375
50.0,-48.05,-0.020300739,0.0035522517,3.3317783,3.7210649205845255e-05,3.375
50.0,-47.9,-0.020709962,0.0029272805,3.3212287,0.00014785205325605665,3.375
50.0,-47.9,-0.027021356,0.0037124255,3.310669,7.316151180153388e-05,3.375
50.0,-47.85,-0.017757613,0.0028532639,3.2986438,9.527950462566633e-05,3.375
50.0,-49.3,-0.019743145,0.0018633733,3.295065,4.462567961551224e-05,3.375
50.0,-48.6,-0.036516547,0.007971901,3.2963347,6.706506533337511e-05,5.0625
50.0,-49.0,-0.020277783,0.0026015346,3.308682,4.5325767072117146e-05,5.0625
50.0,-49.1,-0.028900336,0.0060509327,3.3034608,3.892503400824405e-05,7.59375
50.0,-48.0,-0.01650279,0.0012925053,3.287682,0.00010891639581038609,5.0625
50.0,-48.45,-0.038605005,0.005981953,3.290977,0.000109855301565036,5.0625
50.0,-47.8,-0.027889445,0.003712006,3.2963924,6.550867960618384e-05,5.0625
50.0,-47.4,-0.023012113,0.0027508554,3.3055723,8.097983172621314e-05,5.0625
50.0,-43.7,-0.028735936,0.0037232991,3.3089828,0.0005806623318816526,5.0625
50.0,-46.0,-0.033672202,0.0033537266,3.3146615,0.00020412910624789714,5.0625
50.0,-45.6,-0.021324486,0.0029913157,3.3279448,0.00013526780705784696,5.0625
50.0,-44.0,-0.020902049,0.0022571946,3.3246236,0.00027708659577012617,5.0625
50.0,-44.65,-0.023924518,0.0027138607,3.3223116,0.0002449250015773216,5.0625
50.0,-46.45,-0.019478034,0.0024180852,3.3140686,0.00021038882882453653,5.0625
50.0,-45.2,-0.043550152,0.0075747594,3.3019974,0.0001905379921631165,7.59375
50.0,-46.6,-0.022904167,0.002576972,3.290744,0.0001808533797839511,7.59375
50.0,-43.3,-0.021182736,0.0022778548,3.2784188,0.00025797565604998595,7.59375
50.0,-46.05,-0.024435824,0.0018123803,3.2704926,0.00011110140085438111,7.59375
50.0,-44.4,-0.02619682,0.00251466,3.2700932,0.00016439944769908876,7.59375
50.0,-47.1,-0.026939953,0.0028697,3.2529092,8.983607911566619e-05,7.59375
50.0,-42.4,-0.024407407,0.0027810754,3.2349105,0.0001826801664213614,7.59375
