entropy,beta,policy_loss,kl,critic_loss,steps,rewards,value_func_loss
2.738348,1.5,-0.03581817,0.0061210142,0.00073412154,17.15,11.148653208121557,0.0002085059244996399
2.7327728,1.5,-0.029444711,0.004156976,0.00030640114,21.6,17.314783994496672,0.0026085793049279746
2.7428927,1.5,-0.025452774,0.00269218,0.00019457715,25.0,21.218075840431943,0.002592970330937387
2.7449846,1.5,-0.017870707,0.0019760274,0.00019282442,33.8,35.3565795613372,0.008298308872039476
2.7473094,1.5,-0.025258008,0.004621358,0.00019712033,29.2,27.593360101393664,0.0028209948306382416
2.7496195,1.5,-0.017239727,0.003743752,0.00018895826,46.35,56.05077640828347,0.0246029302166812
2.7562594,1.5,-0.015687376,0.0021276327,0.00020674185,43.2,59.29646767658319,0.011017749012442847
2.7610588,1.5,-0.016425481,0.0030583094,0.00020934544,53.15,76.73000075885838,0.02514529631686298
2.760839,1.5,-0.017241808,0.002361437,0.00023348929,49.5,74.39539972573093,0.02125362076195074
2.762846,1.5,-0.023486082,0.0051042098,0.00021792408,58.85,86.69053135660742,0.01812726170603637
2.7656558,1.5,-0.018759245,0.0032377215,0.00021525608,50.45,82.988711459953,0.02201813823057041
2.7520843,1.5,-0.014670415,0.0053022336,0.00026508543,74.8,126.51573486746811,0.01681743433177677
2.7451801,1.5,-0.013258506,0.0016611095,0.00024959684,73.35,130.3587827919435,0.0315291223436292
2.748761,1.5,-0.015342684,0.0029447116,0.00025854772,63.4,114.99646323906181,0.02477549935556049
2.7490377,1.5,-0.0138030965,0.0024965238,0.00025771416,84.4,152.84989140127269,0.02279974375468876
2.7445736,1.0,-0.010043948,0.0014367622,0.00028299598,70.7,127.8209164789798,0.03714595751810402
2.7345328,1.0,-0.017406072,0.0039599454,0.00029682426,90.25,177.84480815377543,0.026103661577423692
2.7270694,1.0,-0.009272659,0.0021299878,0.00033190267,98.65,196.81649754914872,0.016904086225925163
2.7204022,1.0,-0.012642079,0.004758399,0.00033502563,85.9,167.72476864326768,0.027099991275415698
2.708872,1.5,-0.015179279,0.0070236037,0.00032446234,85.7,171.82804712440165,0.020978627475859383
2.7057278,1.5,-0.011946503,0.0024805819,0.0003427467,99.25,197.0980876899539,0.016889896608069443
2.7074845,1.5,-0.01017505,0.0019497881,0.0003468782,98.95,196.80061599411687,0.01960528122357393
2.7056327,1.5,-0.012847722,0.0021256113,0.00033571466,97.45,199.74852804842345,0.01105509851118834
2.700589,1.5,-0.011562618,0.0016752515,0.0003390663,99.05,214.4372116798536,0.0017602423678273037
2.6916447,1.5,-0.00934937,0.0015325648,0.00034953665,101.25,211.7079284894882,0.004308132251403318
2.6887672,1.5,-0.012320646,0.003498785,0.00031423205,108.1,224.66924889663488,0.0009632385560592851
2.684575,1.5,-0.012602002,0.004077382,0.00032058798,113.1,224.28131042588558,0.01083697278460368
2.6767385,1.5,-0.012576054,0.0042721336,0.00031017856,135.85,258.54708385703736,0.002040549540242354
2.684114,2.25,-0.01593735,0.0075034606,0.0002992027,140.7,267.9107820932588,0.002657327492428081
2.684548,1.5,-0.005778012,0.0014855178,0.00030950402,132.65,246.98934716680978,0.01774995039545406
2.6798508,2.25,-0.017284056,0.00887497,0.00031589958,158.25,289.457580725017,0.03401450876628541
2.6819572,2.25,-0.010219402,0.0017803948,0.00032128821,143.35,312.16667250897115,0.01522007824543502
2.6795635,2.25,-0.008919872,0.0019582338,0.00042317918,142.6,324.1887195742647,0.011124665159346637
2.6700914,2.25,-0.011466986,0.0028639922,0.0003576172,144.95,331.85678828622696,0.006557250298911382
2.6615891,2.25,-0.011494171,0.0017950782,0.00030466975,148.6,345.7844960234802,0.0037505603349267855
2.6590016,1.5,-0.00833175,0.0011081087,0.00029474637,146.05,335.1925171282413,0.007886128261088324
2.6627393,1.5,-0.012249154,0.0024083273,0.00029199896,149.35,338.90571599423583,0.005814232318185676
2.6696153,1.5,-0.01260808,0.0034037242,0.0002722713,156.55,352.35788673001736,0.0051240710028791015
2.677206,1.5,-0.013012355,0.0035451537,0.00025290507,170.5,379.4954183656414,0.005156631238621296
2.677504,1.5,-0.012466445,0.0034934862,0.00024477334,164.15,379.21092890795825,0.004078828718727499
2.6664076,1.5,-0.010729279,0.0029340156,0.0002436365,149.65,351.9837698826991,0.011916858704005015
2.6553288,1.5,-0.009512659,0.002305101,0.00023227802,166.8,388.43277775282803,0.005045114323788775
2.6486845,1.5,-0.012080813,0.0043308097,0.00023406815,155.55,369.95616020813196,0.005386310930292234
2.6427855,1.5,-0.011509093,0.0033356615,0.00021760605,158.8,387.9138965793727,0.013822974056385525
2.6305432,1.5,-0.010645367,0.0023940853,0.00022353174,166.1,397.8113134259077,0.006924401767569654
2.6219125,1.5,-0.011752769,0.0037216046,0.00024279158,168.7,413.7009855546191,0.010065650633179879
2.6210332,1.5,-0.012194181,0.0038965207,0.00022601253,168.45,430.38011164821455,0.01863865611879111
2.6114652,1.5,-0.0112172,0.0031552413,0.00020810026,173.6,436.5667144289808,0.016194616926688082
2.6094227,1.5,-0.013618631,0.0040988363,0.0002189997,157.15,399.59754409273876,0.008839974522432193
2.6103244,1.5,-0.011632778,0.0026969959,0.0001860553,179.8,450.13486173587114,0.02763749994972036
2.6073341,1.5,-0.01230604,0.0034583772,0.00018612969,185.55,468.2023287801065,0.041810840000923825
2.5943177,1.5,-0.011385894,0.0034624862,0.00017001443,201.65,523.1414023861225,0.02393454488478318
2.5941045,1.5,-0.011943383,0.0039841146,0.00015770785,206.05,552.7515831180542,0.026434798187842407
2.5874279,1.5,-0.01227364,0.004407987,0.00016887022,218.4,570.8637658867956,0.06896817908469202
2.5760376,1.5,-0.01181807,0.004946527,0.0001626508,224.65,631.2324370990759,0.06610998109370418
2.5714307,1.5,-0.011201871,0.0028180245,0.00015869591,235.75,664.5063758208219,0.09454907374591213
2.5653162,1.5,-0.012513528,0.004726443,0.00013312709,223.25,631.6550686732596,0.06786820226103017
2.5644836,1.5,-0.012741914,0.0040383274,0.00012211497,258.7,736.0546227644147,0.0600002802522579
2.5649507,1.5,-0.009936217,0.0023248454,0.00012704918,265.9,786.6772679910699,0.05104764163831205
2.56648,1.5,-0.008806866,0.0017088052,0.00012436531,254.25,762.4132366569572,0.0422265046478984
2.5636244,1.5,-0.009431554,0.002695737,0.00012017355,265.8,816.6064067169746,0.04177600092184649
2.5582306,1.5,-0.011896154,0.0032184878,0.00012108232,277.55,846.6447595133171,0.0360417802231652
2.550985,1.5,-0.0098089725,0.0027602636,0.00012474913,294.55,881.6132505333204,0.07943344534926257
2.5404823,1.5,-0.009090416,0.0026316987,0.00012072065,281.0,860.0038300456196,0.0497670625215682
2.5344548,1.5,-0.008742657,0.0016965555,0.00011644838,302.55,923.5780996130237,0.04907093936493714
2.526803,1.5,-0.0097751,0.0018005058,0.00011066644,303.0,930.8700057398662,0.05024765411117999
2.5179265,1.5,-0.007424125,0.0016215224,0.00010852882,311.45,962.7819150968674,0.07987361548240356
2.5148003,1.5,-0.008495325,0.0015129758,0.0001019356,328.9,1021.8007232071271,0.02799871607368936
2.5052757,1.5,-0.010252068,0.0023716257,9.943598e-05,341.8,1049.4700886285477,0.07086043382092902
2.5006328,1.0,-0.008880229,0.0011418792,0.00010058187,363.65,1107.1990795403958,0.04654900494344671
2.4939237,1.0,-0.011238382,0.0037092604,0.00011093787,339.25,1036.2479752709482,0.0889700832953449
2.4845636,1.0,-0.011168215,0.003696581,1.0532923e-05,347.1,1093.1850737865293,0.04553932840123642
2.4862401,1.0,-0.010276274,0.003032472,7.666698e-05,407.05,1276.8801478206453,0.0606875445315108
2.4828184,1.0,-0.009409901,0.0018332743,8.013053e-05,454.8,1392.3824037008562,0.06259931595228758
2.4735625,1.0,-0.010645983,0.00413883,8.268376e-05,433.1,1339.0497781365532,0.05725144355710915
2.4666948,1.0,-0.008218562,0.0033659919,9.655347e-05,539.4,1627.0403408235684,0.10150759131073638
2.463709,1.0,-0.008750036,0.002247355,0.00010129397,597.3,1820.4171847671605,0.05278729451092037
2.4562728,1.0,-0.008459199,0.0030490614,9.036843e-05,476.4,1466.4827945925583,0.11714668281929289
2.4491916,1.0,-0.00929714,0.0025544749,9.182426e-05,548.0,1703.9231518939796,0.07226638019690632
2.439348,1.0,-0.007921927,0.0032729872,2.077937e-05,586.05,1758.7586384840208,0.089608433071402
2.42685,1.0,-0.008172429,0.002857297,7.4959935e-05,603.5,1845.445711663572,0.045662598811536004
2.4188337,1.0,-0.007002676,0.0022986794,9.6172895e-05,782.35,2302.2261959061116,0.037159736899255356
2.415717,1.0,-0.00675848,0.002162209,0.00011381256,729.95,2084.6787893451647,0.07604127653110805
2.409352,1.0,-0.007619415,0.0019469355,0.0001157154,643.9,1924.4802092614846,0.04219810702547537
2.4070835,0.6666666666666666,-0.0074166236,0.0014903562,3.0533734e-05,753.25,2255.9432379211917,0.03394871258716763
2.4050546,0.6666666666666666,-0.00680514,0.002991856,8.84534e-05,776.45,2373.4528328798115,0.044215678058755044
2.4066517,0.6666666666666666,-0.008360858,0.0034737224,8.6138614e-05,647.95,2005.9487971677602,0.05472488952957533
2.4045491,0.6666666666666666,-0.008212597,0.001899127,8.909143e-05,717.75,2205.7746198827867,0.0314017382757298
2.4044056,0.6666666666666666,-0.0075339237,0.0029876784,8.578478e-05,701.2,2125.880789236479,0.04829189498315168
