steps,rewards,critic_loss,policy_loss,kl,entropy,value_func_loss,beta
25.7,22.42274030694205,0.00023589037,-0.026897458,0.0048662736,2.7566574,0.002228250558179066,1.0
28.75,29.051127425418287,0.00013040457,-0.031592336,0.008003698,2.7670314,0.0054770341522283605,1.5
24.3,22.762705146763313,0.000108617925,-0.018782118,0.005316667,2.7574835,0.003918869051780082,1.5
39.3,49.06391500665498,0.00021125285,-0.015317902,0.0038528072,2.7452662,0.023263360461818428,1.5
43.6,54.6418351712475,0.000173165,-0.014296527,0.0022756336,2.7382865,0.025642208215509717,1.5
55.4,89.33523843037867,0.00020805116,-0.013773053,0.0038711294,2.7351315,0.01904221443942943,1.5
53.45,86.38445092664173,0.00019087312,-0.01076533,0.0022813575,2.7414248,0.02085718962091432,1.5
73.7,131.3081532782262,0.00021208421,-0.0075730667,0.0020387159,2.7496533,0.016841948969374833,1.5
83.35,144.5193404320023,0.00020532327,-0.00902882,0.0023635488,2.749709,0.01869586149738503,1.5
74.8,136.656603878588,0.0001970901,-0.008496227,0.003084265,2.7457037,0.019942832042318545,1.5
80.1,149.7205258686785,0.0001813593,-0.009476803,0.00463247,2.7335646,0.01478767910269495,1.5
89.55,159.33605180705118,0.00016735742,-0.005947137,0.0018876697,2.727113,0.015347663559344303,1.5
88.3,159.6730093296415,0.0001547711,-0.010539253,0.0031854734,2.7206204,0.018327629811301278,1.5
106.0,190.25104569620203,0.00014741144,-0.0042082947,0.002664247,2.7093613,0.01425408310755222,1.5
116.7,208.0648025855018,0.00014178758,-0.006653581,0.0031911745,2.7082238,0.008562459358531064,1.5
115.35,208.62524227155828,0.00014375875,-0.00662693,0.0028877414,2.7031076,0.0057325985163765815,1.5
115.0,210.28040068484952,0.00014200018,-0.00439108,0.001796098,2.6928458,0.007486392731458576,1.5
113.65,208.0626628470871,0.00013269194,-0.0033638133,0.0013315906,2.687241,0.004793112734173624,1.0
133.9,228.1120452992168,0.00013064944,-0.007883672,0.0034969954,2.6735075,0.003219896490581854,1.0
124.15,221.53093297448748,0.00013572906,-0.007248314,0.003318041,2.6624804,0.004383767484905596,1.0
122.25,215.3981967811384,0.00013793373,-0.004044975,0.003306917,2.6567957,0.00794435981617356,1.0
160.85,262.7541227346634,0.00014213155,-0.010219945,0.008611674,2.6604452,0.001622391820892974,1.5
211.35,285.9529306328532,0.00014788864,-0.0071521914,0.005391356,2.664512,0.023072603675108962,1.5
184.85,287.95785922109746,0.00014519283,-0.0028509737,0.0023403126,2.6559136,0.002995814245038032,1.5
257.6,349.00903452919476,0.00011559903,-0.0054399585,0.0033790732,2.648813,0.013016247427507259,1.5
359.4,451.8763878987158,9.95929e-05,-0.0019034217,0.0019705484,2.649473,0.011121288087808138,1.5
263.4,366.1457198644789,9.8745324e-05,-0.0007267359,0.0008854934,2.6485734,0.00625839507283852,1.0
349.25,439.8973103976665,9.995976e-05,-0.0042280685,0.006969149,2.642543,0.011282320231103284,1.5
453.45,561.4778221114345,4.308174e-05,-0.0015598829,0.0018348404,2.642943,0.004332347462508363,1.5
561.1,658.4872397037124,6.300645e-05,-0.0034386555,0.003501407,2.641463,0.004205940786501416,1.5
564.85,698.206147717049,6.891564e-05,-0.002216745,0.0028369634,2.64021,0.0036503060720547544,1.5
836.05,971.8770384978955,7.173345e-05,0.00061908853,0.0012091742,2.6359391,0.002467174707347593,1.0
771.3,917.2631010966525,3.054555e-05,-0.002931482,0.005977989,2.6316364,0.001418463637799853,1.0
717.15,859.3604266572445,6.640245e-05,-0.00043831905,0.0030966236,2.6276903,0.0014057595066164605,1.0
514.4,673.1291992980966,7.783252e-05,-0.0009858254,0.0020606087,2.6184368,0.0008291219428820199,1.0
465.45,626.1366674058323,7.927016e-05,-0.0006095136,0.0027153883,2.6137586,0.0006266522900134655,1.0
617.9,782.2788729918559,7.778151e-05,0.0012076001,0.0009434409,2.6124592,0.001013940541594181,0.6666666666666666
548.35,710.8131631034303,6.3616295e-05,7.468765e-05,0.001337264,2.6127868,0.0014127427490417486,0.4444444444444444
