steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.75,-0.016692415,0.0024644993,3.660842,0.0022689655054715834,1.0
50.0,-49.35,-0.02055404,0.0033083295,3.644187,0.0006991215105693993,1.0
50.0,-49.75,-0.028423177,0.0030625784,3.6436982,0.00015025793367111055,1.0
50.0,-49.8,-0.019191839,0.0016725867,3.63832,6.105716403382268e-05,1.0
50.0,-49.6,-0.014702685,0.0016633493,3.627489,5.5079177792851356e-05,1.0
50.0,-49.85,-0.021009197,0.0033046936,3.6164608,3.330224954802819e-05,1.0
50.0,-47.75,-0.028158862,0.0045840656,3.6130726,0.00013481738874008553,1.0
50.0,-48.7,-0.023405446,0.003929332,3.6099548,5.251990238260709e-05,1.0
50.0,-49.75,-0.014707192,0.0018124497,3.6043606,4.88218258145626e-05,1.0
50.0,-48.5,-0.034667905,0.005065848,3.5830493,0.0001320624204436008,1.0
50.0,-49.0,-0.017886044,0.00296088,3.5787013,6.64432619156968e-05,1.0
50.0,-49.2,-0.02459927,0.003154151,3.5751867,3.2720464186516067e-05,1.0
50.0,-47.5,-0.02668853,0.0032296444,3.5635335,0.0002051652909117347,1.0
50.0,-48.8,-0.0216708,0.003318759,3.560307,5.3067211867124083e-05,1.0
50.0,-48.35,-0.025395928,0.0051458064,3.5636444,0.00010018679700244074,1.0
50.0,-48.05,-0.031240102,0.006171858,3.5729103,0.00014004451559672658,1.5
50.0,-49.3,-0.053416003,0.010662752,3.5926638,5.346686355603629e-05,2.25
50.0,-49.1,-0.0352891,0.009899607,3.5949728,2.5732498188002784e-05,3.375
50.0,-49.0,-0.025952943,0.004894491,3.622983,9.060020582717957e-05,3.375
50.0,-48.55,-0.020009365,0.003491469,3.6373518,3.6398705310189816e-05,3.375
50.0,-48.3,-0.023050588,0.004394125,3.6283123,6.736924708694769e-05,3.375
50.0,-48.4,-0.02035711,0.0030831168,3.6231658,4.289523981206519e-05,3.375
50.0,-49.5,-0.017723976,0.0021959164,3.625481,3.2573268698902505e-05,3.375
50.0,-49.75,-0.015098259,0.0018014446,3.6247241,2.4198884652857003e-05,3.375
50.0,-49.1,-0.01929967,0.0021128738,3.6260326,5.161390695923611e-05,3.375
50.0,-49.35,-0.0205357,0.0029681034,3.6369917,2.766535519949302e-05,3.375
50.0,-48.8,-0.01913964,0.002645255,3.6473677,5.1211995720405855e-05,3.375
50.0,-48.2,-0.020789523,0.0021749716,3.6409478,6.61904456119484e-05,3.375
50.0,-47.25,-0.024582546,0.0025587885,3.6347044,8.529504540416928e-05,3.375
50.0,-46.7,-0.025842983,0.006046232,3.6345615,0.00021556466809888124,5.0625
50.0,-48.5,-0.024671912,0.0035873489,3.6344612,8.21754170197542e-05,5.0625
50.0,-46.0,-0.023244899,0.0029289217,3.6229255,0.00013473609548409846,5.0625
50.0,-48.25,-0.028746035,0.0039104754,3.6204138,6.017218559098096e-05,5.0625
50.0,-47.75,-0.014847882,0.0012501309,3.6112204,0.00010419686631194235,3.375
50.0,-48.25,-0.022235923,0.0033557226,3.6063993,5.3689855698084324e-05,3.375
50.0,-46.1,-0.036668018,0.0071928515,3.5982506,0.00015256402631979503,5.0625
50.0,-46.4,-0.019295316,0.0025809612,3.5893352,0.0001911261100878848,5.0625
50.0,-44.95,-0.01626588,0.0020007894,3.5777345,0.00014503493200638832,5.0625
50.0,-46.0,-0.028796934,0.0061171055,3.581885,0.0001419776796822138,7.59375
50.0,-44.35,-0.018004043,0.002234113,3.571093,0.00022521058727057963,7.59375
50.0,-44.6,-0.021957071,0.002751154,3.5614824,0.0002929749193083688,7.59375
50.0,-41.8,-0.024675079,0.0027209313,3.5469291,0.00029559715206799566,7.59375
50.0,-42.0,-0.02788674,0.004155619,3.527137,0.00048653891362053107,7.59375
50.0,-40.1,-0.03204403,0.0046319775,3.5119748,0.0002810328480414338,7.59375
