steps,rewards,critic_loss,policy_ppo_loss,policy_ddpg_loss,kl,entropy,value_func_loss,beta
19.0,13.49171083136369,8.8409455e-05,-0.03848422,0.0002364553,0.008412454,2.7637224,0.0006712788296900646,1.5
23.55,19.095759154921076,6.308705e-05,-0.026962414,-0.0003815561,0.006209085,2.7648609,0.001487978592610563,2.25
31.3,33.46090519511944,0.000128092,-0.017070197,-0.0017848578,0.002449575,2.7640793,0.007260056232612732,2.25
33.8,44.56909137556865,0.0001280609,-0.013252851,-0.002223027,0.0027639463,2.7614083,0.019841484704477524,2.25
46.45,69.29291719097597,0.00015283546,-0.010291312,-0.0011422113,0.0019521561,2.7617671,0.038635209491113515,2.25
40.55,53.46468759902508,0.00013087502,-0.011748001,-0.0019327251,0.0024931498,2.7586622,0.0364715899181281,2.25
50.5,82.21755623022797,0.00018254312,-0.008075187,-0.0022178886,0.0011590845,2.752091,0.02335467620047209,1.5
50.8,82.98861764361344,0.0001818679,-0.009740398,-0.0025324181,0.002447604,2.738059,0.033463153195266715,1.5
66.4,116.75175971068202,0.00019094527,-0.013317399,-0.0016176803,0.004822512,2.7315178,0.015239189133279766,1.5
63.6,105.67946476937945,0.00017032887,-0.008356266,-0.0015438481,0.0020858834,2.7284675,0.02553369936613201,1.5
77.75,139.88042940220868,0.00019432521,-0.008670949,-0.0013422914,0.002720676,2.7223516,0.029471641341740084,1.5
73.95,141.2590927579642,0.00017177065,-0.008037121,-0.00040579124,0.0020548522,2.7179713,0.01902799616821208,1.5
78.1,159.2156286684562,0.00017382523,-0.015016081,-0.0010091278,0.0057566823,2.709127,0.02174854127383872,1.5
90.95,169.97711766256043,0.00016809312,-0.0070398217,-0.00019641515,0.0038981945,2.7134688,0.02142752550376584,1.5
90.3,178.21157304033028,0.00016505552,-0.00789491,-0.00024458344,0.0019672066,2.718587,0.020274878941090764,1.5
109.7,207.99467966749094,0.00015541176,-0.007359378,-0.00013054542,0.0015085824,2.7184792,0.015354732310037632,1.5
99.0,192.90697886521562,0.00015061049,-0.0060957586,-4.0485764e-05,0.0016445189,2.7110627,0.020123300707096992,1.5
114.95,221.14202945458155,0.00014643726,-0.0049210256,0.00017708479,0.0011643405,2.706741,0.006452901367289381,1.0
115.75,220.90360544428026,0.00014479637,-0.007464761,0.00039416138,0.002455781,2.6994061,0.00830111350148461,1.0
103.05,218.24836020112463,0.00014607771,-0.011357584,0.0005871784,0.0051512877,2.6978312,0.0019409000918606664,1.0
100.3,212.05807582522547,0.00014386194,-0.0076750303,0.0009901979,0.0036372605,2.695814,0.006915761177986215,1.0
105.75,216.07052332352828,0.00014658988,-0.012489274,0.0012450482,0.0047901548,2.6939683,0.006054975905565155,1.0
105.8,223.6981620201804,0.00013550311,-0.010626274,0.0013553802,0.0043805065,2.6917431,0.0007028495786427168,1.0
119.05,230.60888146848114,0.00013994778,-0.006848853,0.0011047488,0.0020987883,2.6887445,0.005151954310592661,1.0
116.7,236.4892270301767,0.00013285546,-0.007023986,0.0010149914,0.0033641835,2.6837063,0.0008454155919988583,1.0
119.4,238.70022582113683,0.00013811902,-0.012315514,0.0013654276,0.0076521104,2.6772118,0.0008034305771873947,1.5
125.4,243.96356680763228,0.00013687399,-0.01243152,0.0016350686,0.0033772928,2.669553,0.005511562163722496,1.5
121.85,244.17743700308793,0.00013202906,-0.013828199,0.0015701117,0.0060757124,2.665772,0.0011925111172384466,2.25
118.85,240.86511795784918,0.00012935959,-0.0068778107,0.0013467028,0.0017073336,2.6680791,0.0006903061536779735,2.25
118.75,244.13585830259976,0.00013029041,-0.010897115,0.0020793162,0.0024770133,2.6752627,0.000986181759642508,2.25
138.9,269.4803257256115,0.00013111832,-0.011457341,0.001497371,0.002795687,2.6714764,0.002597183595810447,2.25
147.5,266.86562931152764,0.00012730548,-0.0077913133,0.0019090568,0.0016362068,2.664102,0.005939235491116742,2.25
127.95,261.8665904435261,0.0001278582,-0.011317327,0.0023006548,0.0020049054,2.6699867,0.005030926145014163,2.25
159.05,317.14597295401006,0.00013036284,-0.010439173,0.0018519155,0.0019148815,2.6776948,0.014455595297082914,2.25
157.4,291.3286133880687,0.0001302181,-0.005906926,0.0021811624,0.0011939508,2.677855,0.01392696628620861,1.5
149.5,308.134140344784,0.00013357656,-0.013584511,0.0019445666,0.0063692927,2.6867046,0.011645235132905118,2.25
160.0,338.15766070334314,0.00012816298,-0.008678803,0.0013018358,0.0023859376,2.6811652,0.01606379779515893,2.25
180.5,379.0430295598383,0.00012733319,-0.006427424,0.0015089813,0.0013907435,2.6806765,0.01320441510842972,1.5
167.8,380.0174404460037,0.00012711936,-0.005011482,0.00051617087,0.0021436997,2.678345,0.008708337918666655,1.5
186.2,389.07924120771065,0.00012584563,-0.008463828,0.0012408006,0.0038367044,2.676613,0.008189370509946357,1.5
189.1,408.993314228749,0.00012255841,-0.008518783,0.0016280655,0.0036050433,2.676031,0.013317171254193702,1.5
184.75,393.66201107709395,0.00012435227,-0.009443064,0.0008326092,0.0033279024,2.6758575,0.03199071573512177,1.5
