value_func_loss,critic_loss,rewards,policy_loss,entropy,kl,beta,steps
0.0003716729870869062,0.00027214293,11.827606220193017,-0.030962903,2.749397,0.0052499603,1.0,16.3
0.00034413183921301024,0.000109868655,14.226945683908065,-0.03145953,2.7364278,0.0052060555,1.0,19.9
0.02267235458614126,0.00011924824,47.08143026160243,-0.02040287,2.73077,0.00549561,1.0,38.25
0.00625031637965897,9.784655e-05,33.330112449694454,-0.03592855,2.730822,0.009218489,1.5,34.45
0.023765299407347805,0.000107108775,60.5763751061764,-0.012167562,2.724164,0.0026013132,1.5,44.55
0.024424463291675382,0.00010844467,64.1013107097108,-0.013192955,2.7136075,0.0019896592,1.5,47.2
0.01622508714284234,0.00011428839,58.65887441036423,-0.01969076,2.7100718,0.004684347,1.5,40.9
0.020374352992694154,0.00010813324,91.1274129925491,-0.011770865,2.7172356,0.0019244554,1.5,55.45
0.016091949626522103,0.000101492435,99.65297684585047,-0.013405597,2.720423,0.0026793396,1.5,59.45
0.02269496088238381,9.787593e-05,113.93454495174812,-0.011906856,2.7113922,0.0023295488,1.5,64.85
0.021764328542118558,9.626255e-05,93.61324309373829,-0.015582868,2.6864483,0.001940097,1.5,54.0
0.013427176898578782,9.664105e-05,117.4102351788861,-0.013877017,2.6770756,0.0028085844,1.5,67.3
0.017728514077121404,0.000100562,132.91031937824135,-0.009722856,2.6777227,0.0011750305,1.0,79.6
0.021992439308430405,0.00010299681,136.87599629873748,-0.014363328,2.6724033,0.0025820746,1.0,84.0
0.021851029052395488,0.00010477102,157.00854710194903,-0.010861593,2.6673641,0.004832194,1.0,91.55
0.015971321787950552,0.00010849619,168.0783206983264,-0.012901734,2.6594682,0.0045171427,1.0,94.15
0.01622918421582326,0.000114346876,193.31476602767134,-0.010598179,2.6608646,0.003455546,1.0,104.45
0.02794794438098578,0.00011691363,189.8391068786521,-0.007558243,2.6611128,0.0025046319,1.0,105.9
0.019481174245282788,0.00011933856,199.4925385678864,-0.00783107,2.660243,0.0024431061,1.0,105.4
0.013776436648760083,0.00011712076,206.2479166821533,-0.011573207,2.652005,0.0040983963,1.0,109.55
0.0032553680825347067,0.000118385804,233.69900554549844,-0.010634409,2.651965,0.003538388,1.0,126.25
0.0019445949213020937,0.00011907792,238.83656469181778,-0.011055991,2.6562238,0.006312162,1.5,125.25
0.0049316400379649725,0.00011496351,240.03526671733934,-0.005388788,2.650981,0.0011755308,1.0,124.65
0.0019252213458537573,0.000113451715,268.0965913021215,-0.012523641,2.6456468,0.0070563303,1.5,148.9
0.01618140471762349,0.00011051993,233.11509570237732,-0.0060638706,2.6438794,0.0027935207,1.5,129.85
0.018077161488517332,0.00010715655,261.6784713403985,-0.010850436,2.6382627,0.005068016,1.5,167.8
0.0019465894278526124,0.000105060426,255.88998626877319,-0.008140977,2.6352744,0.0014978184,1.0,135.5
0.0092645010376664,0.000103991035,243.1568773873617,-0.007372382,2.6325433,0.0047823666,1.0,128.45
0.004886006461554976,0.00010700431,279.2457432915188,-0.0148368385,2.6337113,0.0077266777,1.5,161.5
0.01713148789325379,0.00010925258,280.48409870317937,-0.003747931,2.6289654,0.0015498194,1.5,166.65
0.017574928016267886,0.00010747726,280.2467391733776,-0.006417866,2.623371,0.0017797423,1.5,170.5
0.004739439854674552,0.00010928692,321.159435349584,-0.00939426,2.6173472,0.002611912,1.5,204.2
0.0086284399215671,0.000108483495,302.0130922386252,-0.0045770784,2.6188583,0.0020548184,1.5,179.45
0.009432654013967734,0.0001085081,326.31506780750493,-0.009846768,2.6110373,0.003713767,1.5,206.1
0.011906907167324933,0.000108180255,321.34169142748715,-0.0035241712,2.604381,0.001609416,1.5,197.0
0.00653760816171886,0.000107660315,316.43334089381534,-0.007805273,2.6022842,0.0024641554,1.5,190.85
0.0027009817535349544,0.00010927422,331.85368032222505,-0.008344703,2.5996919,0.0030978792,1.5,199.0
