rewards,policy_ddpg_loss,steps,beta,policy_ppo_loss,entropy,kl,critic_loss,value_func_loss
19.722494284133404,0.0003385061,24.05,1.0,-0.027711332,2.750048,0.0050885165,0.0011800461,0.00393058156696397
17.35456630702685,0.00069025747,23.05,1.0,-0.02823744,2.7484221,0.004358292,0.0005608435,0.003352052585018431
43.60234059178968,-0.00014614745,36.3,1.0,-0.024696507,2.756932,0.005786696,0.00044363498,0.04074218862425048
58.81561451559819,-0.0011055243,45.4,1.5,-0.027964542,2.7671444,0.006813548,0.000384776,0.021362244039063557
72.51012026708503,-0.00037996436,47.7,1.5,-0.012290126,2.7599607,0.003121978,0.00035956036,0.043287989950068516
69.1423223626903,-0.001863459,44.8,1.5,-0.016715385,2.7586365,0.005986028,0.00033129822,0.02342692062857214
110.02179948588733,-0.0008736846,66.7,1.5,-0.013394849,2.7596807,0.004210635,0.0003310174,0.03116185252206529
140.06374170833513,-0.00034679304,76.85,1.5,-0.007662723,2.7593837,0.0020483532,0.00031670023,0.041140320456912675
143.74695548433115,-0.00090826146,76.05,1.5,-0.010148758,2.7568905,0.0025625483,0.00029350343,0.028425859256023533
135.16511013058408,-0.000666159,71.4,1.5,-0.01386171,2.753436,0.004327163,0.0002803099,0.028855464734341633
176.14486534973668,-0.00081643515,91.9,1.5,-0.007945311,2.7488103,0.0030310706,0.00026643815,0.03191226527381744
163.72795432927737,-0.0015230204,82.2,1.5,-0.008609949,2.754458,0.0050043194,0.0002530118,0.02594382475795092
165.10435758158923,0.00034827972,84.85,1.5,-0.0148758525,2.7505686,0.004764765,0.00025487324,0.024817924762495353
188.37194134625216,0.0008594712,94.7,1.5,-0.011095584,2.7259455,0.0037761373,0.000247186,0.020837493198352926
224.09155304335877,-0.00030179156,107.6,1.5,-0.007346907,2.7111943,0.002500687,0.00023939835,0.0083348638581307
217.17022202429112,-1.8911152e-06,104.3,1.5,-0.009284239,2.6990194,0.003164946,0.00023094742,0.008370983011458104
219.36805871461556,0.00018384126,106.7,1.5,-0.0100638475,2.6873221,0.003395392,0.000228923,0.0111768660231756
