policy_loss,kl,beta,rewards,steps,entropy,critic_loss,value_func_loss
-0.037010718,0.0090398295,1.5,21.197026491577105,20.6,2.7763715,0.00051524315,0.00422052547168738
-0.026027124,0.0054160906,1.5,26.43646411559765,29.15,2.784874,0.00013773161,0.005365842265488721
-0.020108856,0.0041507194,1.5,51.0943780739417,38.2,2.7792037,0.00023436468,0.03973488471886914
-0.021102441,0.0040033776,1.5,42.554549369669246,34.95,2.7794924,0.00014977108,0.02313289203530311
-0.024840187,0.006776363,2.25,35.46027715522249,30.55,2.7801492,0.00015389011,0.015001660950309127
-0.013834551,0.0023168037,2.25,75.91663700352537,51.55,2.7859304,0.00018345592,0.01797098299298103
-0.01730028,0.0041629113,2.25,65.63730956425081,46.95,2.7884483,0.00014958964,0.01268042265413988
-0.013800516,0.0025769495,2.25,86.94286763346142,58.4,2.784705,0.00016653922,0.011538033210654152
-0.011602283,0.0025089704,2.25,88.18762904215374,61.1,2.7731068,0.00016708419,0.010022402819837635
-0.011008391,0.004218208,2.25,107.1324907697531,66.75,2.7766273,0.00017634168,0.009350592364048544
-0.008520632,0.0014980776,1.5,119.55633745249312,87.0,2.7803555,0.00020556942,0.029580500603726394
-0.010594377,0.0024519484,1.5,136.9192437100353,99.55,2.781483,0.0002073299,0.033201384433963914
-0.0069907987,0.0024154685,1.5,143.54750986095195,94.0,2.7830298,0.00025055368,0.019181847588764324
-0.005822122,0.0027371314,1.5,163.39924796788466,95.0,2.77119,0.00029269644,0.02122196682009461
-0.009219179,0.0034266238,1.5,145.4559042600366,90.05,2.7459989,0.00030127092,0.03237291815730747
-0.0105113145,0.004188397,1.5,185.9648994663326,107.45,2.7338903,0.00030516848,0.017141110475118012
-0.0068004285,0.003827359,1.5,178.88522076060863,98.15,2.7246814,0.00031733987,0.023095573544137826
-0.004465875,0.0024962018,1.5,175.96736028798546,95.8,2.7084002,0.00030084793,0.02017793049345647
-0.007734281,0.0035084975,1.5,217.29813811866515,116.0,2.7114074,0.00029701416,0.00940207166863478
-0.00045616692,0.0021716247,1.5,219.88048416359683,117.5,2.7102265,0.00031601003,0.007825420247343642
-0.0052248472,0.003318041,1.5,227.56940525137747,116.7,2.708632,0.00032430512,0.005068820049142658
-0.0063178,0.002869235,1.5,241.39291218036823,126.85,2.7114267,0.00032760875,0.0017322615231757756
6.9353264e-05,0.0019391008,1.5,237.9486197794087,123.65,2.7165184,0.0003457666,0.0061192272259907
-0.0035446605,0.0020181127,1.5,221.99022242776692,118.05,2.7040184,0.0003463658,0.010695849696108286
-0.006435174,0.0029060107,1.5,256.27717398599475,134.4,2.699255,0.0003864124,0.002098227580510667
-0.0040212153,0.0030423307,1.5,260.65518813280016,138.8,2.6950042,0.00037203252,0.0009793662535000163
0.00021260278,0.004098542,1.5,227.05536609361607,126.0,2.6923723,0.00037390896,0.01669153922283889
-0.006327026,0.0012324281,1.0,254.80220168061715,132.3,2.6827364,0.00035984023,0.0017580563648633765
-0.0097354725,0.0070282943,1.5,259.83211917931806,135.65,2.6817522,0.00021721062,0.0006312143860627739
-0.008691452,0.005746132,1.5,267.57145698729835,139.15,2.6865926,0.00035106065,0.002571829583427101
-0.007761354,0.0061279633,2.25,297.0235646104892,161.3,2.6944823,0.0002155661,0.0018914189996093844
0.0015231716,0.0018963551,2.25,287.50575207540464,161.55,2.6947186,0.00025281592,0.014509118282184832
-0.002702618,0.0012138676,1.5,306.80655028712243,165.25,2.6906796,0.00023402165,0.005582350908938763
-0.0068578334,0.0032716047,1.5,314.4258113410288,177.7,2.6852458,0.00021827781,0.005438412230507846
-0.008182358,0.005117494,1.5,290.2836142524603,151.2,2.6831665,0.00023640398,0.013733424539254508
-0.00871446,0.0056713,1.5,316.42602292932025,157.75,2.6854033,0.00024344547,0.00943188256296109
-0.0027822107,0.0050115273,1.5,329.4702854658061,161.7,2.6790838,0.000229615,0.013581537139561626
-0.0029642065,0.0021281028,1.5,352.7778350693044,170.1,2.6787505,0.0002427718,0.0037879176647226233
-0.0044566514,0.003464384,1.5,350.9790320810792,168.85,2.6853077,0.0002460306,0.004061774676268801
-0.005958151,0.0050180494,1.5,358.0443308313359,171.4,2.686416,0.00024446577,0.00403185098475517
-0.0049854545,0.0041125054,1.5,380.5022292954586,187.4,2.6923993,0.00024238606,0.003629086068186694
-0.009664057,0.00355842,1.5,371.7863808365515,173.1,2.6852293,0.00021912779,0.0019455831419261749
-0.0049106153,0.003000781,1.5,366.3777910693623,164.5,2.678165,0.00019715227,0.0013676711631770715
-0.0046463204,0.002121578,1.5,365.15565112329296,161.35,2.67619,0.00019056792,0.002835671124528869
-0.0065602763,0.0041898955,1.5,367.5897205023313,163.0,2.6682117,0.00016556462,0.0016983966167440868
-0.0048921946,0.003507739,1.5,376.6306503349354,166.55,2.6589632,0.00016521319,0.002358633817981956
-0.0041060443,0.0018380936,1.5,371.377905203727,166.45,2.654834,0.00016154101,0.001995982296495543
-0.0025388051,0.0038185958,1.5,370.57359097945664,159.2,2.6530797,0.00016919085,0.00749291253662176
-0.0025535782,0.002113921,1.5,383.09582532539423,168.0,2.6517262,0.000167454,0.0025939771698076574
-0.0036357283,0.0030507138,1.5,387.7698801991488,167.5,2.6464806,0.00015986682,0.0016076229729710667
-0.004564457,0.0036864239,1.5,390.9350309403009,173.5,2.6417613,0.00016208818,0.0017595648354863842
-0.004259486,0.0027513546,1.5,400.698005604871,166.85,2.6352398,0.00016161946,0.0020628134373499325
-0.004976766,0.0048038946,1.5,407.513776820468,173.05,2.6223183,0.00016457388,0.002046986630716256
-0.008971008,0.005630367,1.5,406.4185959120615,165.25,2.6168268,0.0001640133,0.0010788923566946778
