steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.45,0.0010687413,0.000102835416,3.6741924,0.0028929903506093053,0.6666666666666650.050.0,-49.0,0.0009781774,6.1118844e-05,3.672283,0.0005917279548793453,0.4444444444444450.050.0,-49.95,-0.0011892668,2.0603895e-05,3.6727178,0.00010626452002465741,0.296296296296250.0,50.0,-48.45,-0.00028682154,2.4061203e-05,3.671222,7.18503326624561e-05,0.197530864197530850.50.0,-48.8,-0.00013209999,9.992552e-05,3.670535,0.00010476815986427385,0.1316872427983550.050.0,-48.55,-0.0007173407,0.00010562324,3.676351,8.782599167116212e-05,0.08779149519890250.50.0,-49.3,0.00011810195,0.000100788595,3.6822474,4.8696964200533864e-05,0.05852766346550.0,-450.0,-48.95,0.0009296194,6.200767e-05,3.6749005,4.191645665108931e-05,0.03901844231050.0,-450.0,-48.7,-0.00054404855,0.00030514406,3.6628485,5.203230740883066e-05,0.0285714285750.0,-5050.0,-49.45,0.0010566494,0.00037724542,3.6494503,3.071295266861154e-05,0.0285714250.0,-49.5550.0,-49.5,8.3309584e-05,0.00036144018,3.6533146,1.887684844193652e-05,0.028571428550.0,-48.50.0,-49.65,0.00030153064,0.0003620448,3.6568975,1.785902849332105e-05,0.028571428550.0,-47.50.0,-48.75,-0.00091081584,0.0008323693,3.680556,8.130684918510275e-05,0.028571428550.0,-48.50.0,-48.9,-0.00020145433,0.0014565937,3.682526,4.686195878066089e-05,0.028571428550.0,-49.50.0,-49.35,0.00031924542,0.0011272039,3.688149,2.2365913251358326e-05,0.028571428550.0,-49.50.0,-49.1,-0.0007507162,0.0021526376,3.6928828,3.3662549305914384e-05,0.028571428550.0,-49.50.0,-48.5,0.0007172824,0.0021915121,3.6958086,4.7968178773395236e-05,0.0285714285750.0,-4950.0,-47.2,-0.00083481526,0.006257675,3.6918116,0.00010917132439984047,0.042857142857150.0,-50.0,-46.1,0.00016500386,0.00557955,3.7027445,0.000144603721829334,0.042857142857142850.50.0,-49.3,0.0012167603,0.0011640732,3.6979842,2.0927578262789596e-05,0.028571428571428575050.0,-47.95,0.031780813,0.031355165,3.7102041,7.474617503878931e-05,0.04285714285714286
50.0,-48.8,0.06596456,0.041752387,3.7121181,5.091485385248863e-05,0.06428571428571428
50.0,-49.0,0.045394074,0.035488594,3.7149644,4.9984511526091336e-05,0.09642857142857142
50.0,-49.5,0.022282153,0.026044343,3.7175443,1.7844977214608194e-05,0.14464285714285713
50.0,-49.55,0.013246356,0.019679572,3.7200189,1.3125136043131129e-05,0.2169642857142857
50.0,-49.85,0.005550.0,-48.45,-0.00078620086,0.0033704324,3.7137167,8.552356033478853e-50.0,-49.75,0.009976346,50.0,-45.9,-0.005389719,0.006472016,3.7576485,0.0004026660742205650.0,-49.85,0.045059845,50.0,-44.75,0.0011785699,0.0060833804,3.7430425,0.0003692756296850.0,-49.2,0.013198251,0.050.0,-45.15,0.0031887454,0.0018736693,3.7387424,0.0001871620650.0,-49.7,0.0004240314,0.0007150.0,-43.5,-0.0017310855,0.00426319,3.741858,0.00033964650.0,-49.7,0.0002355153,3.338194e50.0,-42.75,0.0015037227,0.002746684,3.737567,0.00026017450.0,-49.0,8.806274e-05,5.60951250.0,-40.3,-0.00438341,0.00352851,3.7342749,0.000304189846950.0,-49.25,0.00022434875,1.50.0,-41.1,0.004019943,0.005971701,3.737042,0.0005158787090185976,50.0,-49.15,0.000656350.0,-37.4,-0.004969981,0.005850807,3.7573764,0.000507325656101446,0.06450.0,-49.65,-0.050.0,-42.0,-0.002968589,0.0063600307,3.7681448,0.0004180686113540514,0.096428550.0,-49.8,-50.0,-40.25,0.0008443149,0.0026878626,3.76869,0.00030675943175994896,0.0964285750.0,-49.9,50.0,-40.5,0.0024448913,0.0031361189,3.7779462,0.0003504020655328051,0.0964285714250.0,-4950.0,-38.3,-0.003856781,0.003320234,3.7657433,0.00042227754938570217,0.0964285714285750.0,50.0,-38.15,0.0014129928,0.006114424,3.7731822,0.0004380018370271475,0.144642857142857150.50.0,-38.9,0.001033145,0.0016329958,3.76512,0.0003478762501278668,0.14464285714285713
50.0,-34.5,-0.0016278657,0.001977945,3.7614098,0.00047890755932343966,0.14464285714285713
50.0,-37.15,0.00011526272,0.002348555,3.7549596,0.00034401609431664135,0.14464285714285713
50.0,-38.6,0.0009210714,0.0019046717,3.7556922,0.00041900488230127235,0.14464285714285713
50.0,-34.65,0.0012497877,0.0017712002,3.756034,0.0003631888124237481,0.14464285714285713
50.0,-33.5,-0.0027137008,0.0017564404,3.7531517,0.0005240080644886633,0.14464285714285713
50.0,-37.1,-0.0033547818,0.0010053586,3.7460852,0.00027198159167575486,0.09642857142857142
50.0,-33.0,-0.0047579897,0.003994309,3.7376297,0.0005010217016651568,0.09642857142857142
50.0,-31.8,-0.0014428806,0.002925898,3.7287307,0.0002861513816577609,0.09642857142857142
50.0,-33.55,0.00029499273,0.0023286908,3.7302985,0.00026389116796937987,0.09642857142857142
50.0,-28.55,-0.00023293606,0.0028365864,3.7160504,0.0002759174066479326,0.09642857142857142
857142857142857
