policy_loss,rewards,entropy,beta,steps,kl,critic_loss,value_func_loss
-0.021300338,14.75692702693259,2.738874,1.0,21.05,0.0027398749,0.00046437848,0.0016589530632329485
-0.028646834,19.994297874996942,2.7311249,1.0,24.75,0.0029210332,0.00023153474,0.022718111216408297
-0.030347357,24.15961845661699,2.7378876,1.0,28.0,0.0059740962,0.00024662496,0.025947868943098217
-0.017991835,37.02759948903864,2.744861,1.0,37.1,0.0027324364,0.00025593714,0.028055821719147757
-0.025303695,39.29472142466865,2.7487936,1.0,35.85,0.004398534,0.00021094317,0.01832571571539947
-0.017328385,53.83822181911184,2.750393,1.0,44.0,0.005810482,0.0002096676,0.02109114814241642
-0.014633086,69.3300825105717,2.7567043,1.0,57.65,0.0031237649,0.0001974297,0.01215733424677646
-0.011272951,90.5513067197373,2.753395,1.0,64.05,0.0027723687,0.00020652814,0.019242723866150325
-0.013170715,90.06348027698627,2.7590275,1.0,55.5,0.0033449165,0.00019775989,0.01110394190511198
-0.0106450785,76.5522346086228,2.7519329,1.0,52.5,0.0023593241,0.00018632517,0.011382117264744465
-0.011722526,96.49496111399314,2.7404125,1.0,60.25,0.0033014847,0.00018715987,0.007613615645932049
-0.015428158,131.48858648910291,2.72891,1.5,80.15,0.0088631725,0.00018782388,0.019673755661173346
-0.013714497,130.91687014066832,2.7195787,1.5,80.35,0.0032623122,0.0002069176,0.028508036310099547
-0.00806358,151.70318527811213,2.7129252,1.5,85.3,0.0028354393,0.00021179902,0.026335772069968625
-0.0067771836,147.88339685977468,2.7171345,1.5,87.5,0.0031143962,0.00022156668,0.02832138475472785
-0.01262485,169.7276508896735,2.7233496,1.5,91.15,0.0046307594,0.00021962912,0.01490126119404854
-0.008803832,198.05236418626544,2.7261117,1.5,112.05,0.0022058333,0.00023112689,0.012246975468034346
-0.0070760096,194.23196929450833,2.7271042,1.5,108.7,0.001987093,0.00022174857,0.012031113301880293
-0.008052517,202.57915629129357,2.7211068,1.5,111.35,0.0031133536,0.00022278121,0.009760970864827606
-0.010328008,203.58410216655366,2.716646,1.5,111.55,0.0051562255,0.00021708632,0.0063684108320875895
-0.007739676,217.39118265585586,2.715829,1.5,119.0,0.003657329,0.0002170703,0.0021113127599118203
-0.007921587,222.4578459979129,2.7089643,1.5,124.7,0.0026809094,0.00021549151,0.0020795451701005082
-0.004569136,216.29997621210936,2.7041276,1.0,125.95,0.0014585693,0.00021337748,0.009948305536119178
-0.008357824,221.02046539906087,2.702157,1.0,126.3,0.0048675435,0.00020543697,0.01108289639636728
-0.0071535073,232.9507117248203,2.7009015,1.0,132.85,0.0041986248,0.00020297048,0.00598796470880557
-0.011089666,248.9243448702167,2.701869,1.5,142.75,0.0066674496,0.00019499575,0.0032811111084752203
-0.012099693,305.0753040722496,2.7028217,2.25,196.95,0.0082268175,0.00019627076,0.0035100437929094434
-0.010028034,250.30136425714636,2.698162,2.25,205.5,0.004707995,0.00019929766,0.04460653604058901
-0.008271906,326.57138201056716,2.6994226,2.25,210.75,0.002434842,0.00019515972,0.022501510058436515
-0.0057264855,330.2522524254722,2.700892,2.25,209.65,0.0017026498,0.00018715468,0.004430152439947269
-0.0064882487,324.05541354613746,2.6965156,2.25,202.65,0.0028587638,0.00018384615,0.003257067091184936
-0.001829654,329.29616437543007,2.6990905,1.5,216.0,0.0011459247,0.00018269794,0.026502280528824505
-0.0075859665,368.1187509530404,2.701012,1.5,240.15,0.0027380644,0.00018267371,0.011167553870282516
-0.0038336453,347.2718022702934,2.698568,1.5,219.75,0.0020940313,0.00018248738,0.019734511410007326
-0.0059429174,363.0946151273597,2.698852,1.5,228.2,0.0020458566,0.00018196982,0.004599594949474241
-0.0062013664,422.65437150667714,2.6967797,1.5,298.15,0.002293634,0.00018812301,0.007355572366913834
-0.005958256,397.1656783166063,2.694603,1.0,245.65,0.0012595409,0.00018622968,0.004982183259556452
-0.006978776,412.7503055884783,2.7043052,1.0,257.85,0.0028940823,0.00018756371,0.0032335555694147475
-0.0064382153,489.8037993697426,2.7115536,1.0,337.8,0.0018918522,0.00018363661,0.0021496635274179054
-0.009553713,546.7175558734323,2.7120326,1.0,422.65,0.004674007,0.00018676968,0.00450335648009694
-0.007932179,482.69477883915096,2.7133524,1.0,336.9,0.004380927,0.00018435124,0.010755533274231233
-0.00689404,485.3542234380469,2.7113361,1.0,322.15,0.0034614557,0.00018642124,0.0014851443011806135
-0.0051452103,546.6043408660832,2.699587,1.0,382.0,0.002489499,0.00018539478,0.0012922353718753255
-0.00687465,553.6833894049242,2.697401,1.0,395.2,0.0023307009,0.00018160115,0.0015166492265626568
-0.004663141,605.062788004602,2.6973643,1.0,445.95,0.0019706828,0.00018089416,0.00869484619294134
-0.0043543396,592.2311633999392,2.693554,1.0,427.0,0.0022963558,0.00018345099,0.0016479509420033753
-0.006497922,658.8744302593844,2.6873372,1.0,488.2,0.0016855139,0.00017678458,0.0007509108227497074
-0.009435728,716.686886425121,2.683929,1.0,539.35,0.0043218103,0.0001742675,0.0010974585804777166
-0.008910743,762.2539177635044,2.6859655,1.5,562.25,0.006869369,0.00017212682,0.006553419817101052
-0.0046981503,689.4665575585352,2.6877294,1.5,500.35,0.001852399,0.0001741786,0.03313571521058268
-0.004958546,819.3853273447282,2.6829815,1.5,614.1,0.0017416208,0.00017212471,0.02007291209039541
-0.0046462878,842.4895825602673,2.686605,1.5,603.25,0.0015766138,0.00017501839,0.012617850081696998
-0.0059590526,715.2243492247661,2.6840322,1.5,520.65,0.0023201602,0.00017296252,0.012993205150701891
-0.0061237155,710.3021278814524,2.6802635,1.5,498.35,0.0018506763,0.00017174624,0.005315677593656287
-0.004055161,898.3286832013933,2.6818366,1.0,646.45,0.0012380292,0.00017079803,0.016705337350061647
-0.00406639,1019.673148477685,2.6820197,1.0,731.6,0.002419747,0.00017540966,0.014942783156330887
-0.0021337653,704.8612219662158,2.6811762,0.6666666666666666,484.65,0.0013373704,0.00017178859,0.02800006201823132
-0.005367492,965.7950811647304,2.6816254,0.6666666666666666,658.9,0.0049559455,0.00017181347,0.022255823571575316
-0.00464317,928.5348016715179,2.6860335,0.6666666666666666,654.45,0.0030161366,0.00017233478,0.023065130026559685
-0.00739995,830.2827750835243,2.6778824,0.6666666666666666,586.0,0.00559729,0.00017345049,0.025338152949647866
-0.004460555,912.6191235686053,2.682627,0.6666666666666666,636.8,0.004154199,0.00017666529,0.026100752325709478
