steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
24.65,18.852977422101997,-0.027359614,0.0074541634,2.7639472,0.002155633040938783,1.5
33.95,33.33677326731809,-0.01533387,0.0033405125,2.759416,0.010416144258618558,1.5
43.3,52.7735533857634,-0.016539209,0.004708646,2.7513132,0.033700004819329894,1.5
37.7,48.44306487343713,-0.019538173,0.0040610805,2.7389739,0.013259545184624178,1.5
53.95,83.87652475252546,-0.014933065,0.003037217,2.7296758,0.026138788153762974,1.5
51.05,83.44095759856573,-0.016720435,0.0038599707,2.7264981,0.024001260301212343,1.5
58.95,103.38081039563158,-0.017165055,0.003527867,2.7327244,0.028556120357578162,1.5
66.2,116.68197238546493,-0.011409895,0.00281316,2.74023,0.02531983824828116,1.5
75.35,133.55170378650536,-0.011920482,0.005147338,2.743288,0.022972592547135986,1.5
81.8,146.5115559025575,-0.010226614,0.0025188394,2.742957,0.03515399224214005,1.5
77.4,147.43551612103073,-0.011197172,0.002874879,2.7395117,0.031520524479098866,1.5
93.15,182.37262286605448,-0.010582691,0.002703136,2.7365043,0.02533267786775823,1.5
102.95,191.89154993016297,-0.013507837,0.0031968711,2.7239354,0.013101092344462894,1.5
109.3,213.6619995544673,-0.0068506165,0.00081692287,2.7107668,0.01050056378514538,1.0
105.4,197.2596815999181,-0.010604685,0.0024629985,2.7022986,0.022525856695448033,1.0
115.1,221.3398689586832,-0.00775468,0.0027993817,2.6999452,0.004779144923098008,1.0
112.05,226.35843441706726,-0.00772697,0.0016246943,2.7063599,0.0033247139619402987,1.0
116.2,229.94670211755215,-0.011468061,0.0058304807,2.7101567,0.004921479249484603,1.0
125.55,236.10803455628235,-0.010620654,0.0051551126,2.7105122,0.0067723533886499265,1.0
114.9,227.98986703431146,-0.01059258,0.0032197186,2.704948,0.008921000487030283,1.0
120.4,242.55808521054146,-0.010356734,0.0045318366,2.7044828,0.0025651731167950064,1.0
132.15,256.35660057791927,-0.0073775006,0.0030517979,2.7094567,0.0016960343344341005,1.0
121.0,245.1459347457597,-0.015161066,0.008419388,2.7181838,0.0020912469106197603,1.5
160.25,280.8395731460497,-0.008244077,0.002681164,2.7159336,0.0175876865765628,1.5
151.45,290.2953439482759,-0.010611458,0.0036611173,2.7136798,0.008695811452678032,1.5
155.6,304.38925457494014,-0.011690116,0.0027544142,2.7124693,0.019077223375460823,1.5
141.65,290.2602161402805,-0.010618139,0.0028805123,2.696163,0.010795788118464416,1.5
153.35,325.5746716452091,-0.0100234635,0.00351619,2.6816466,0.008195599549920909,1.5
133.6,286.65206948625547,-0.014398072,0.0047966144,2.670175,0.014625416297258702,1.5
166.8,348.4116991193317,-0.007951648,0.0015315701,2.658739,0.009340142145633926,1.5
162.75,343.79376831286083,-0.0072938264,0.0019619872,2.6437318,0.006388320679050938,1.5
163.85,345.302988820555,-0.013182763,0.00621275,2.6398582,0.012401552477635582,2.25
155.45,342.17502609244957,-0.008025785,0.0017451611,2.6329951,0.00471432965572392,2.25
158.3,354.25821631136444,-0.006629606,0.0016874693,2.6244354,0.002853815939431302,2.25
156.55,342.30026404892686,-0.013970209,0.0029636554,2.6171427,0.009991551386589394,2.25
165.8,359.49391662396425,-0.010005636,0.0020916646,2.613135,0.009052140793254176,2.25
158.35,363.2923967150309,-0.009489166,0.0018557012,2.6087527,0.0021889103965269186,2.25
165.5,375.80313714636605,-0.008185886,0.0023176828,2.607495,0.0021341784868072746,2.25
159.8,367.1613223882631,-0.007940928,0.0025499957,2.606253,0.00208010418901076,2.25
163.85,381.9252565954719,-0.00895815,0.0027035547,2.6106727,0.0018378041301260319,2.25
171.3,396.1419131613111,-0.008069374,0.0019234181,2.616545,0.007661954002390923,2.25
167.95,392.2391197673649,-0.010132089,0.0024689024,2.6198885,0.023038903268192367,2.25
171.9,396.87769762070786,-0.005748366,0.0015451204,2.6263347,0.005233016162286263,2.25
167.8,398.81693348119245,-0.0064610457,0.0012702635,2.621305,0.0041983743641440694,1.5
162.95,384.6580244591102,-0.012426027,0.0042863223,2.6236086,0.00820884543147407,1.5
165.95,417.1084765254753,-0.011334144,0.004764165,2.6130686,0.019660922556813586,1.5
169.2,427.48786708843016,-0.0098881,0.0044756266,2.6013074,0.017659938168489396,1.5
197.4,500.61051500574524,-0.009231525,0.003172619,2.5898237,0.07216885376713578,1.5
203.8,534.9695501434815,-0.01221983,0.004744481,2.5798993,0.07108984795304822,1.5
207.15,530.9017048683539,-0.008717641,0.0024597638,2.572086,0.06754598789102874,1.5
