value_func_loss,entropy,beta,policy_loss,rewards,steps,kl
4.3409936243829843e-07,0.9988036,5.0625,-0.035766132,-1.25,50.0,0.0039621107
4.2376777194161286e-07,0.99468565,5.0625,-0.023742205,-1.45,50.0,0.0034733189
9.249435409365735e-07,0.9803481,5.0625,-0.021666087,-1.75,50.0,0.0021726764
8.028233954916421e-07,0.9757743,5.0625,-0.03559018,-1.85,50.0,0.0041526053
2.906235285036873e-07,0.972939,5.0625,-0.03114684,-1.8,50.0,0.003477227
8.754840950929435e-07,0.9621482,5.0625,-0.017109336,-1.9,50.0,0.0019146168
4.1806478321607097e-07,0.95609903,5.0625,-0.020504832,-1.6,50.0,0.0023116793
6.25120486323623e-07,0.9480481,5.0625,-0.022236252,-1.8,50.0,0.003905571
2.9171863222077197e-07,0.94676733,5.0625,-0.026106045,-1.85,50.0,0.003267425
1.7286706502908187e-06,0.9290719,5.0625,-0.022718033,-1.8,50.0,0.0032598837
9.507921188797667e-07,0.9150543,5.0625,-0.02733373,-1.65,50.0,0.0034905514
4.871604210169845e-07,0.9066634,5.0625,-0.022199493,-1.7,50.0,0.002386163
2.1691617740575138e-07,0.89031506,5.0625,-0.026244799,-1.45,50.0,0.003289349
1.686964750799395e-06,0.8599076,5.0625,-0.02497686,-2.15,50.0,0.0027114786
3.5504299607056146e-06,0.8415928,5.0625,-0.02253759,-1.8,50.0,0.002654356
1.0493892506711447e-06,0.83750296,5.0625,-0.025862971,-1.75,50.0,0.0030197697
3.6216087718057595e-07,0.8374896,5.0625,-0.022259522,-1.35,50.0,0.002410364
6.115580717637259e-07,0.8206639,5.0625,-0.027716514,-1.95,50.0,0.004073181
1.1707383390075868e-06,0.79559565,5.0625,-0.021201441,-1.8,50.0,0.002418773
1.889949603324202e-06,0.78473425,5.0625,-0.028901624,-2.0,50.0,0.0043547372
1.1639467317686345e-06,0.7644963,5.0625,-0.027690649,-1.55,50.0,0.0038516794
2.076975773190514e-06,0.74191475,5.0625,-0.036014296,-1.7,50.0,0.0038366932
7.473665209039485e-07,0.73104715,5.0625,-0.031928085,-1.8,50.0,0.0042059617
3.3820886585452026e-07,0.71817446,5.0625,-0.021559417,-1.65,50.0,0.002474635
1.9602274122490033e-06,0.7183776,5.0625,-0.028696593,-1.7,50.0,0.0037967274
3.1135307526629104e-07,0.71876955,5.0625,-0.02863045,-1.6,50.0,0.0037574754
1.280157223936045e-06,0.7100501,7.59375,-0.047589872,-1.95,50.0,0.00676766
3.825191690227151e-07,0.7060399,7.59375,-0.022256333,-1.55,50.0,0.002073891
4.940324230649093e-07,0.6972976,7.59375,-0.022844344,-1.35,50.0,0.0021982233
7.04517085107904e-07,0.68277645,5.0625,-0.013828551,-1.6,50.0,0.0010832379
6.531426386706176e-07,0.6768451,5.0625,-0.041256957,-2.0,50.0,0.0048223305
3.3309626070683594e-07,0.663939,5.0625,-0.022926377,-1.4,50.0,0.0031895323
2.0782213529526103e-07,0.65718174,5.0625,-0.031474426,-1.5,50.0,0.0038878773
3.250411215103001e-07,0.6568208,5.0625,-0.02931027,-1.6,50.0,0.0049434667
2.8978075231640076e-07,0.66184473,5.0625,-0.024503805,-1.8,50.0,0.002757339
1.672258339701716e-07,0.6563163,5.0625,-0.037190825,-1.45,50.0,0.0049893544
2.5372437768645114e-07,0.6453719,5.0625,-0.024241278,-1.95,50.0,0.002259962
2.8932284193934025e-07,0.6424155,5.0625,-0.016740482,-1.5,50.0,0.0022367386
1.6846981740879774e-07,0.64623547,5.0625,-0.034759108,-1.55,50.0,0.0045175897
2.0816843740337486e-07,0.64506674,5.0625,-0.022021957,-1.75,50.0,0.003031449
1.5784098027004702e-07,0.6344819,5.0625,-0.030010639,-1.9,50.0,0.0037788413
