steps,rewards,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.45,-0.012915684,0.0019001884,3.6910815,0.002090055470201128,1.0
50.0,-48.45,-0.011515906,0.0018267508,3.6994832,0.00038289636202683774,1.0
50.0,-48.8,-0.009667442,0.0021073548,3.6967802,0.00015101335384826246,1.0
50.0,-49.95,-0.010858926,0.0013041978,3.6762013,5.022675263129729e-05,0.6666666666666666
50.0,-49.9,-0.022988876,0.008506824,3.6601152,3.434878122224871e-05,1.0
50.0,-49.5,-0.01136255,0.0020690737,3.6483495,3.391070137977359e-05,1.0
50.0,-49.45,-0.009221236,0.001607148,3.6473618,4.4846298400986765e-05,1.0
50.0,-48.8,-0.0114869885,0.0016147763,3.6468554,7.891270414705813e-05,1.0
50.0,-49.75,-0.012265256,0.0015193406,3.6521995,2.6657346544168557e-05,1.0
50.0,-49.75,-0.010098325,0.00064433384,3.6512473,2.0715592802469257e-05,0.6666666666666666
50.0,-49.3,-0.008631613,0.0011767816,3.6628244,3.929953368169093e-05,0.4444444444444444
50.0,-48.8,-0.011863211,0.0022776984,3.661125,7.883990572586167e-05,0.4444444444444444
50.0,-49.4,-0.013110196,0.0021192767,3.6572833,4.072420900276799e-05,0.4444444444444444
50.0,-49.55,-0.0153839355,0.005646081,3.651668,1.8691085657143272e-05,0.4444444444444444
50.0,-49.3,-0.010203453,0.0018466165,3.6508512,2.7788154699210868e-05,0.4444444444444444
50.0,-49.55,-0.01569649,0.0047280425,3.6404562,2.01641842908666e-05,0.4444444444444444
50.0,-49.65,-0.009187236,0.001247181,3.6376371,2.2506639073773377e-05,0.2962962962962963
50.0,-47.95,-0.008088875,0.0010569637,3.627876,0.00011212062669153408,0.19753086419753085
50.0,-49.7,-0.011971502,0.0019175387,3.620324,2.6779627011431734e-05,0.19753086419753085
50.0,-46.5,-0.010838487,0.0046779835,3.614636,8.602264852342126e-05,0.19753086419753085
50.0,-48.75,-0.023636542,0.010591949,3.6201,0.00010954868799084996,0.2962962962962963
50.0,-48.6,-0.010898576,0.0025544043,3.6181803,3.3690773118726784e-05,0.2962962962962963
50.0,-48.1,-0.014880387,0.006026146,3.6347716,6.408033895737143e-05,0.4444444444444444
50.0,-48.8,-0.0132328225,0.0029500395,3.6446133,3.977344565303649e-05,0.4444444444444444
50.0,-48.65,-0.010285969,0.005621871,3.6324887,0.0001871733555906114,0.4444444444444444
50.0,-48.35,-0.01227019,0.0032208627,3.6083064,6.0291883695326776e-05,0.4444444444444444
50.0,-49.0,-0.015498057,0.00545226,3.5924563,3.976619899905044e-05,0.4444444444444444
50.0,-48.3,-0.010966778,0.003477699,3.5918088,0.0001715580787774545,0.4444444444444444
50.0,-47.35,-0.015668878,0.010965389,3.598019,0.00013801787248152137,0.6666666666666666
50.0,-45.95,-0.015576315,0.0069871754,3.6074035,0.00019855978491126333,1.0
50.0,-47.85,-0.009825405,0.0020840825,3.5936236,0.00022824874358339623,1.0
50.0,-46.2,-0.014519758,0.0066088694,3.5809045,0.00013839909773509542,1.5
50.0,-47.6,-0.009305207,0.0025973096,3.5694852,7.47591754776138e-05,1.5
50.0,-47.5,-0.011355065,0.002342041,3.561623,0.0001096306469100302,1.5
50.0,-49.1,-0.016820744,0.0038539604,3.5720675,5.268590875145529e-05,1.5
50.0,-46.65,-0.012248614,0.0031318087,3.5878367,8.65592576399524e-05,1.5
50.0,-46.0,-0.0141760465,0.004691586,3.5990987,0.0001973839348568905,1.5
50.0,-47.8,-0.012754424,0.0052401894,3.592473,5.071504748010919e-05,1.5
50.0,-46.85,-0.011950824,0.0033414566,3.581272,0.00012106934923326307,1.5
50.0,-46.4,-0.024515193,0.008455034,3.5700061,9.916631696049049e-05,2.25
50.0,-46.15,-0.011555882,0.0017193377,3.576404,0.0002107243297656095,2.25
50.0,-44.4,-0.01333523,0.0032190748,3.566572,0.0001311826343418737,2.25
50.0,-41.95,-0.010875808,0.0024896543,3.543665,0.0003558915716771326,2.25
50.0,-42.1,-0.012024868,0.0018764543,3.5265107,0.0001609462880085106,2.25
50.0,-39.9,-0.013464964,0.0024341291,3.5124383,0.0004150265707022701,2.25
50.0,-39.25,-0.014948815,0.0028678284,3.4978244,0.0002250216871298177,2.25
50.0,-39.3,-0.017934874,0.0046204557,3.498976,0.00022217923469067448,2.25
50.0,-34.6,-0.015577468,0.0041964017,3.4970932,0.0004656133924984038,2.25
50.0,-33.6,-0.013847038,0.0028357217,3.4824014,0.00039099021136269885,2.25
50.0,-35.85,-0.014367464,0.0032677026,3.4574125,0.00018411815202590149,2.25
50.0,-34.7,-0.018837636,0.004909329,3.4299269,0.0005426565497470392,2.25
50.0,-28.8,-0.016566293,0.0029141027,3.4300349,0.0003266485028656337,2.25
50.0,-32.75,-0.023925018,0.0059141596,3.4163818,0.00039275052542557217,2.25
50.0,-27.85,-0.015753087,0.0037620333,3.418128,0.00033606765979138126,2.25
50.0,-25.9,-0.0201881,0.0045701982,3.4260924,0.0006348042608566604,2.25
50.0,-25.1,-0.02201706,0.004299476,3.4133987,0.00034836367240558355,2.25
50.0,-20.05,-0.015300101,0.0024851281,3.3844643,0.00048174798180636823,2.25
50.0,-21.35,-0.017610766,0.004380874,3.3606288,0.0003247287295933652,2.25
50.0,-22.35,-0.018122708,0.00570827,3.353541,0.0002740296322579661,2.25
50.0,-21.5,-0.021741893,0.004987957,3.3260858,0.0002743227809169998,2.25
50.0,-20.05,-0.021610113,0.0052833534,3.2973075,0.0002353316163992385,2.25
50.0,-17.5,-0.02625423,0.0049935733,3.2639225,0.00030004028021335773,2.25
50.0,-15.95,-0.020095993,0.0043426766,3.2429876,0.00018655744342397913,2.25
50.0,-15.9,-0.021634964,0.004608248,3.2190375,0.00024740914731890667,2.25
50.0,-13.75,-0.020382676,0.0035911098,3.1959605,0.0001766182129094489,2.25
50.0,-14.2,-0.021693163,0.00396259,3.1765473,0.00023456323677997225,2.25
50.0,-13.5,-0.020909017,0.004156477,3.1454003,0.00022659482595116707,2.25
50.0,-11.45,-0.021093875,0.0034187436,3.1084998,9.912137412485333e-05,2.25
50.0,-10.2,-0.019032463,0.0031967151,3.077848,8.501559885734552e-05,2.25
50.0,-10.9,-0.02398452,0.0056526586,3.0518684,9.781618340928651e-05,2.25
50.0,-7.95,-0.021030009,0.0045790356,3.034672,0.00010698480904680673,2.25
50.0,-8.3,-0.029878361,0.0051834295,3.0212917,6.170330554464552e-05,2.25
50.0,-6.2,-0.019380772,0.00390934,3.010708,7.624578962565758e-05,2.25
50.0,-7.6,-0.03119667,0.006986728,3.0122576,5.3983883984264994e-05,3.375
50.0,-5.7,-0.016293924,0.0031697068,3.0014853,2.791748603292585e-05,3.375
50.0,-5.05,-0.017016228,0.002678096,2.9879344,4.33636066623377e-05,3.375
50.0,-5.75,-0.018143922,0.0029589566,2.958849,0.00011917742488476518,3.375
50.0,-5.6,-0.020454077,0.003668938,2.938431,3.920189678793201e-05,3.375
50.0,-4.35,-0.018613033,0.0024024914,2.9233794,3.075455374776929e-05,3.375
50.0,-4.75,-0.016359365,0.0021424512,2.9026425,1.791766364400866e-05,3.375
50.0,-4.35,-0.018975262,0.0029401307,2.8765998,2.19188139608062e-05,3.375
50.0,-3.35,-0.021080552,0.0028880658,2.864258,9.403568694462613e-06,3.375
