beta,steps,critic_loss,value_func_loss,entropy,policy_loss,kl,rewards
1.0,50.0,0.00037194276,0.0006493308279957861,3.705982,-0.009768085,0.0016438151,-49.65
0.6666666666666666,50.0,9.231201e-05,0.00014384371698664255,3.7157302,-0.010736764,0.001320092,-49.8
0.4444444444444444,50.0,7.4961434e-05,7.872615690692498e-05,3.7221353,-0.007910187,0.0011995275,-49.7
0.4444444444444444,50.0,7.2086434e-05,4.479242678125174e-05,3.7152224,-0.013116054,0.0025233964,-49.35
0.4444444444444444,50.0,6.24648e-05,8.474919451845786e-05,3.726516,-0.012759458,0.0021512916,-48.85
0.4444444444444444,50.0,7.000032e-05,3.150247354036845e-05,3.734038,-0.017370088,0.0038777064,-49.6
0.4444444444444444,50.0,6.87673e-05,3.710906926570933e-05,3.7191024,-0.013416706,0.0019492958,-49.45
0.4444444444444444,50.0,7.046218e-05,4.5312478927414893e-05,3.7214506,-0.012503696,0.0025913909,-48.5
0.4444444444444444,50.0,6.964562e-05,3.0239121380205687e-05,3.7335758,-0.020647047,0.004513793,-49.9
0.4444444444444444,50.0,6.720914e-05,3.279061210980477e-05,3.738794,-0.011664672,0.0026076634,-49.2
0.4444444444444444,50.0,6.7966765e-05,2.3193413553753315e-05,3.7436566,-0.010938603,0.002584477,-50.0
0.4444444444444444,50.0,6.49706e-05,3.235075136929534e-05,3.7524352,-0.016381722,0.0028869524,-49.0
0.2962962962962963,50.0,6.4082735e-05,3.951736744640064e-05,3.761298,-0.0144844055,0.0013297537,-49.4
0.19753086419753085,50.0,6.3007086e-05,4.634269415779932e-05,3.7524605,-0.011351591,0.0010906179,-48.6
0.19753086419753085,50.0,6.4482236e-05,3.0039268350797097e-05,3.7387393,-0.010792222,0.0015929027,-49.5
0.19753086419753085,50.0,6.4988344e-05,7.963055821270682e-05,3.7385964,-0.015635781,0.0024089527,-47.9
0.19753086419753085,50.0,6.650303e-05,0.0002110140318582921,3.7457292,-0.015069644,0.0044610207,-46.95
0.2962962962962963,50.0,6.755535e-05,5.336745134655299e-05,3.7502818,-0.0146654975,0.0066300565,-49.2
0.4444444444444444,50.0,5.992225e-05,4.6650126289385805e-05,3.7482953,-0.016804883,0.008282364,-49.5
0.4444444444444444,50.0,5.662782e-05,8.057912195280399e-05,3.7517886,-0.014190644,0.005595147,-47.5
0.4444444444444444,50.0,5.710447e-05,4.5147593296828394e-05,3.7594068,-0.012041326,0.0041452595,-49.2
0.6666666666666666,50.0,5.7441757e-05,3.125655415970556e-05,3.76636,-0.016964547,0.012835696,-49.1
0.6666666666666666,50.0,5.4627202e-05,2.9041632680461937e-05,3.7607825,-0.012406083,0.002669022,-49.2
0.6666666666666666,50.0,5.423306e-05,5.591342444900492e-05,3.746505,-0.012783055,0.004397991,-47.35
0.6666666666666666,50.0,5.1626215e-05,4.634118225263504e-05,3.7401114,-0.017107805,0.0041426783,-49.45
0.6666666666666666,50.0,5.4962435e-05,2.1174858112300646e-05,3.7443132,-0.011599336,0.0028485227,-49.25
0.6666666666666666,50.0,5.923929e-05,0.00016892134276472675,3.7306461,-0.016574759,0.0041083163,-47.45
1.0,50.0,6.0023478e-05,3.1862189847411345e-05,3.7163546,-0.01962857,0.011308413,-49.75
1.5,50.0,6.0570113e-05,7.015563958974894e-05,3.7047606,-0.016626649,0.0070759514,-48.35
1.5,50.0,5.7121124e-05,1.687554286603923e-05,3.6988187,-0.010215449,0.002530791,-49.55
1.5,50.0,5.7174482e-05,0.00026126586837134624,3.704019,-0.010302936,0.0023752411,-45.9
1.5,50.0,6.2310224e-05,0.00011861721453456683,3.7115011,-0.017447025,0.0046231747,-45.65
1.5,50.0,5.461254e-05,0.00025192085936476407,3.7084684,-0.022887098,0.005382042,-43.8
1.5,50.0,6.481752e-05,5.6671572153546356e-05,3.7159564,-0.015395311,0.003167716,-47.0
1.5,50.0,6.159728e-05,0.00036036281680677774,3.7167733,-0.017979406,0.00435497,-44.05
1.5,50.0,6.552346e-05,0.00015661749569877332,3.7072332,-0.013762723,0.0023270182,-44.6
1.5,50.0,6.482217e-05,0.0001586839209756265,3.688317,-0.01948444,0.0058993176,-45.05
1.5,50.0,6.927596e-05,0.00014658954048656802,3.67407,-0.015411713,0.003427819,-43.95
1.5,50.0,7.20269e-05,0.00024274094058107754,3.6453042,-0.014151884,0.0037178195,-41.15
2.25,50.0,7.1485214e-05,0.00023282446140002986,3.6093206,-0.023879481,0.00674798,-40.75
2.25,50.0,7.23873e-05,0.0003012086220747018,3.5935128,-0.015643228,0.002219726,-39.65
2.25,50.0,7.1000366e-05,0.00023657135602721296,3.5715082,-0.019257948,0.0044750576,-37.05
2.25,50.0,7.516016e-05,0.0002426470071486173,3.5683637,-0.014337516,0.0033526183,-36.05
2.25,50.0,8.143119e-05,0.0002204183979711272,3.5733376,-0.018836506,0.005070506,-39.6
2.25,50.0,8.760793e-05,0.0004933902717746324,3.5676308,-0.015580152,0.004209141,-36.25
2.25,50.0,8.69038e-05,0.0003761197372014062,3.5592895,-0.016304735,0.0031063526,-31.0
2.25,50.0,9.0491914e-05,0.00036472733937557297,3.5376222,-0.017667761,0.004333657,-32.1
2.25,50.0,9.6681906e-05,0.00024154583675818246,3.5166702,-0.01991053,0.0042112786,-34.9
2.25,50.0,0.00010138014,0.00046091965419645624,3.4957714,-0.018767979,0.0037106746,-33.95
2.25,50.0,0.00010113521,0.0002740958473611486,3.478543,-0.019602392,0.0038470093,-26.65
2.25,50.0,0.00010550988,0.0003788382551843627,3.4652562,-0.020393645,0.0047630463,-22.1
2.25,50.0,0.00011626914,0.00029908444037587197,3.4601817,-0.022712238,0.0052300566,-26.4
3.375,50.0,0.00012860984,0.00032213158468211405,3.452132,-0.025438352,0.0065587927,-27.35
3.375,50.0,0.00013113215,0.00016463692571984126,3.4378386,-0.017498907,0.0024654823,-21.05
3.375,50.0,0.00013677456,0.000319514702037053,3.4282944,-0.013018288,0.0022068003,-21.95
3.375,50.0,0.00014561281,0.00014480735851980897,3.4110534,-0.020719161,0.003874723,-18.3
3.375,50.0,0.00014250765,0.00028279548867909276,3.4109702,-0.019858908,0.0035896085,-19.8
3.375,50.0,0.00013991025,0.00023849761553935883,3.4024496,-0.018447751,0.0032611594,-15.4
3.375,50.0,0.00015226382,0.00015608075086865248,3.3789163,-0.018807713,0.0035683473,-16.15
3.375,50.0,0.00016073011,9.878941339260441e-05,3.351715,-0.01960355,0.0031992851,-12.0
3.375,50.0,0.00016938976,0.0001589661627574004,3.3255439,-0.023222819,0.0041564708,-15.15
3.375,50.0,0.00016479213,9.150616452445461e-05,3.2894716,-0.0158511,0.0029152683,-8.8
3.375,50.0,0.00016749477,5.754807720622609e-05,3.2756097,-0.01957035,0.0032324237,-10.35
3.375,50.0,0.00017670402,7.851025511081544e-05,3.2614076,-0.019935653,0.003135044,-9.15
3.375,50.0,0.00018456137,5.741941149345939e-05,3.2402782,-0.017710201,0.0028903866,-9.7
3.375,50.0,0.00019098482,0.0001167915081740338,3.2153263,-0.020207375,0.003192618,-8.25
3.375,50.0,0.00019452607,6.072721540626452e-05,3.1722355,-0.020755915,0.0030428304,-7.75
3.375,50.0,0.00018977455,2.6306954787633666e-05,3.1308942,-0.021729449,0.004172163,-6.95
3.375,50.0,0.0001908049,5.0752325615868684e-05,3.1030097,-0.02346485,0.003903315,-5.85
3.375,50.0,0.00021662068,2.2663839586754706e-05,3.0914097,-0.0148421675,0.0026665903,-5.05
3.375,50.0,0.00020355546,2.1674178042280584e-05,3.0804052,-0.015421734,0.002692641,-4.15
3.375,50.0,0.00020936003,2.588088871478307e-05,3.058282,-0.021300348,0.0037237736,-5.4
3.375,50.0,0.00021452543,2.9750902705281068e-05,3.0424314,-0.02307027,0.0037187336,-4.0
3.375,50.0,0.00022960847,2.0999674218895605e-05,3.0292778,-0.02356416,0.004851322,-5.35
3.375,50.0,0.00022943912,1.6004360352458635e-05,3.0150118,-0.016967913,0.0022998978,-2.8
3.375,50.0,0.00024731798,9.354670741462184e-06,2.990495,-0.017633384,0.0033124203,-3.05
3.375,50.0,0.00024800646,1.2758070049932957e-05,2.979886,-0.008258514,0.0024910723,-2.95
3.375,50.0,0.0002482692,1.2519117250598375e-05,2.9632766,-0.01944387,0.00380169,-2.45
3.375,50.0,0.000248237,1.462169915449776e-05,2.9496832,-0.012776284,0.0026868142,-2.5
3.375,50.0,0.00023554405,6.125507107224913e-06,2.9336367,-0.022146318,0.0037541147,-3.1
3.375,50.0,0.00023792264,1.1632908184034434e-05,2.9143455,-0.017873313,0.0036959148,-2.95
3.375,50.0,0.0002556225,7.720389323812884e-06,2.8931038,-0.016577886,0.0028367317,-2.6
3.375,50.0,0.00026213168,6.254993247527742e-06,2.8926616,-0.016553912,0.0027656239,-2.15
3.375,50.0,0.00024747182,4.684419370745384e-06,2.8915224,-0.016057288,0.0030456535,-2.55
3.375,50.0,0.0002704736,1.2559110124190157e-05,2.8806815,-0.019432481,0.0036779703,-2.75
3.375,50.0,0.0002876193,1.3026748846484148e-05,2.856007,-0.017353723,0.0024350653,-2.7
3.375,50.0,0.00027486388,3.6677427967393787e-06,2.8435154,-0.015967963,0.0020630811,-1.75
3.375,50.0,0.00026295095,3.829488030160226e-06,2.8444452,-0.01423429,0.002730727,-2.5
3.375,50.0,0.00028498608,5.331698315796758e-06,2.8327384,-0.0131987715,0.0027959058,-2.35
3.375,50.0,0.00027198004,4.398972444558551e-06,2.8248837,-0.018084172,0.0031556787,-2.45
3.375,50.0,0.00028361336,6.836657412854911e-06,2.8087072,-0.0151074855,0.0036133754,-2.3
3.375,50.0,0.00030157494,7.970605581047722e-06,2.7892485,-0.011209449,0.0025539373,-2.3
3.375,50.0,0.0002932221,4.4548728082858465e-06,2.7810307,-0.018946448,0.0026906326,-2.5
3.375,50.0,0.0002837583,2.540976796971796e-06,2.765676,-0.013173555,0.0022161226,-2.25
3.375,50.0,0.00028813927,2.752804395397448e-06,2.7593563,-0.014956573,0.0040114834,-2.15
3.375,50.0,0.00027953944,2.8700751483657305e-06,2.7534497,-0.021964105,0.0046229963,-1.95
3.375,50.0,0.00028998416,2.5340910881084476e-06,2.7437146,-0.021922635,0.0029039371,-1.85
3.375,50.0,0.00030080657,3.917284838063377e-06,2.7141886,-0.01935491,0.0029302072,-2.25
3.375,50.0,0.0002920528,4.940191536818227e-06,2.6903684,-0.021685252,0.0030274612,-2.6
3.375,50.0,0.0002827555,5.31049651965281e-06,2.6780682,-0.01627487,0.0030807287,-2.3
