steps,rewards,critic_loss,policy_loss,kl,entropy,value_func_loss,beta
50.0,-49.2,7.79148e-05,-0.013339692,0.0017504367,3.674751,0.0012638266587559066,1.0
50.0,-49.3,2.7825161e-05,-0.011731136,0.0018842495,3.6701128,0.00026078474437173484,1.0
50.0,-50.0,3.0746814e-05,-0.011543897,0.00233088,3.6780057,7.082098959659548e-05,1.0
50.0,-49.75,2.7697643e-05,-0.012802159,0.0019801485,3.676245,3.9976891858313965e-05,1.0
50.0,-47.0,2.8526558e-05,-0.0064010043,0.000738009,3.6794202,0.0001433455835428608,0.6666666666666666
50.0,-49.6,2.6136513e-05,-0.010263668,0.000952574,3.671104,4.774944674881991e-05,0.4444444444444444
50.0,-49.15,2.6870928e-05,-0.011013453,0.002566498,3.6713214,5.0308799810495204e-05,0.4444444444444444
50.0,-49.25,2.7979804e-05,-0.00919231,0.0014611917,3.665357,2.3217612647811878e-05,0.2962962962962963
50.0,-48.65,2.9979012e-05,-0.010141188,0.00085187267,3.6840944,5.604974181322639e-05,0.19753086419753085
50.0,-48.55,2.8966233e-05,-0.015704256,0.00260699,3.7101886,7.753703837535725e-05,0.19753086419753085
50.0,-47.65,2.6727603e-05,-0.014614293,0.005162507,3.7058537,0.00011157978626335951,0.19753086419753085
50.0,-49.7,3.2674707e-05,-0.013794527,0.00560024,3.7086568,3.5662752028841596e-05,0.19753086419753085
50.0,-49.5,4.3694832e-05,-0.017088536,0.008528689,3.7044282,3.455531319335008e-05,0.2962962962962963
50.0,-48.35,3.2708875e-05,-0.0117937485,0.0018048241,3.6986418,4.4652584624210044e-05,0.2962962962962963
50.0,-47.9,2.9720337e-05,-0.014631251,0.0070318594,3.7090704,0.00014741923449428752,0.4444444444444444
50.0,-49.25,3.067247e-05,-0.013117505,0.0025849135,3.7110229,3.317017230869489e-05,0.4444444444444444
50.0,-49.05,2.8928209e-05,-0.016524022,0.0073582437,3.6895936,3.1089078837541116e-05,0.6666666666666666
50.0,-48.45,2.8841503e-05,-0.012495226,0.005156629,3.6713178,4.383993744807834e-05,0.6666666666666666
50.0,-46.25,2.5162813e-05,-0.013069083,0.0070211645,3.6635437,0.0001946222307119924,1.0
50.0,-47.9,2.622314e-05,-0.010181524,0.0032479533,3.6405456,7.207845167762306e-05,1.0
50.0,-47.8,2.3652108e-05,-0.01355416,0.004422235,3.6382554,0.00011962325283933456,1.0
50.0,-48.5,2.5165562e-05,-0.018301,0.0052569597,3.6418948,5.1017174761265006e-05,1.0
50.0,-48.15,2.5925074e-05,-0.012652488,0.0034421321,3.6232913,6.36791438381617e-05,1.0
50.0,-46.3,2.6958265e-05,-0.018497441,0.0064312476,3.612351,0.00014557055270485219,1.5
50.0,-47.75,2.7785707e-05,-0.023275545,0.0058825584,3.6196003,9.509664382566788e-05,1.5
50.0,-46.95,2.9066152e-05,-0.01008101,0.0022191997,3.6162252,0.00014091993524850663,1.5
50.0,-46.6,2.9240244e-05,-0.013904529,0.004454817,3.6022894,0.00010989552816793643,1.5
50.0,-46.3,3.0298965e-05,-0.015594234,0.0038679366,3.5885956,0.0001375245474696179,1.5
50.0,-45.55,2.9718696e-05,-0.0187063,0.007190171,3.5615697,0.00018768339292638746,2.25
50.0,-43.6,2.8712864e-05,-0.01903764,0.006009559,3.559227,0.0002779399234539599,3.375
50.0,-42.5,3.0837506e-05,-0.015352098,0.0020426305,3.556911,0.0004164819611461115,3.375
50.0,-43.25,2.8326787e-05,-0.010884257,0.0015577697,3.5570772,0.0001816538032261704,3.375
50.0,-40.95,2.83756e-05,-0.01305438,0.0017456631,3.5465918,0.0003092094724454928,3.375
50.0,-41.4,2.8208577e-05,-0.016524902,0.0035059382,3.532445,0.00031778921763167957,3.375
50.0,-41.45,2.8158105e-05,-0.013793828,0.0023823257,3.5205083,0.0003095565406241997,3.375
50.0,-37.15,2.9296194e-05,-0.016430218,0.0020070388,3.5224862,0.00025936699153546584,3.375
50.0,-34.4,2.9860768e-05,-0.016701987,0.002700422,3.5196204,0.0003977385260470002,3.375
50.0,-39.4,3.128489e-05,-0.016963035,0.00336984,3.521919,0.00018786453173268446,3.375
50.0,-35.75,3.0465382e-05,-0.014189816,0.0015933044,3.5192714,0.0004929658458410402,3.375
50.0,-33.55,3.0559582e-05,-0.014699512,0.0022078818,3.500835,0.00028000425804462114,3.375
50.0,-30.5,3.1864303e-05,-0.015490963,0.0024897843,3.4843917,0.00041492542960928393,3.375
50.0,-28.6,3.174901e-05,-0.012639725,0.0015719845,3.4766805,0.00032763704679674777,3.375
50.0,-30.1,3.1848835e-05,-0.015332525,0.0026496327,3.4653072,0.0004595653282918017,3.375
50.0,-26.55,3.35811e-05,-0.017273363,0.002420428,3.4262981,0.00019839413422263275,3.375
50.0,-28.8,3.3244844e-05,-0.01902545,0.0030526451,3.404613,0.00034722659440302237,3.375
50.0,-26.55,3.6810445e-05,-0.01756232,0.002700989,3.3886132,0.00022260227244726136,3.375
50.0,-25.2,3.5497793e-05,-0.01660908,0.0018217392,3.3755677,0.00040030487642342063,3.375
50.0,-21.2,3.7555103e-05,-0.021963565,0.0031400407,3.3610377,0.00026775079927118513,3.375
50.0,-20.0,3.6562138e-05,-0.020641226,0.002885843,3.3441472,0.0003092230631597088,3.375
50.0,-17.7,3.7904927e-05,-0.01947273,0.0035535835,3.3365643,0.00021179356635453946,3.375
