policy_ddpg_loss,entropy,steps,critic_loss,beta,value_func_loss,kl,policy_ppo_loss,rewards
-0.0013887585,2.7583098,21.15,0.0017225172,1.0,0.0022757188483065495,0.0035641717,-0.022723932,17.949113719541877
-0.0010060559,2.758614,25.35,0.00036929332,1.0,0.004190735596462942,0.0028972987,-0.01941797,23.504645858712525
-0.0011252996,2.765625,30.25,0.00028901568,1.0,0.003497468939053902,0.0021314593,-0.017756473,28.70020278554564
-0.00097208103,2.756484,22.9,0.0002273554,1.0,0.0008687570573051214,0.0024113217,-0.02582819,20.20950479326856
-0.0002652186,2.7498212,38.25,0.00021329551,1.0,0.02086504368013724,0.0047548143,-0.02682693,42.738258125813466
-0.00083736755,2.73888,31.0,0.0001936025,1.0,0.012853229721152869,0.003456681,-0.025462847,37.896911592299475
-0.0011900491,2.7362995,41.45,0.00020629517,1.0,0.016725528718188783,0.003779213,-0.0202462,56.714833376226736
-0.00048359335,2.7465744,54.0,0.00019482053,1.0,0.020340672314798296,0.0044013094,-0.018033415,78.37860705156503
-0.0007823914,2.742616,52.9,0.00019155673,1.0,0.018448901895840645,0.0015355163,-0.01236744,80.79438389320974
-0.0008301136,2.7431505,58.3,0.00019513413,1.0,0.015528323360113472,0.005369183,-0.019055715,89.07465524426982
-0.0018877175,2.7368011,51.85,0.00018593203,1.5,0.014159894713351995,0.007821707,-0.02033545,77.3165795981698
-0.002096948,2.7269092,66.7,0.00018610056,1.5,0.013244956901864524,0.005664688,-0.01391193,113.76463179929003
-0.001317051,2.722662,78.2,0.00018325233,1.5,0.025465561342918757,0.0044794986,-0.012181455,146.7817037100502
-0.001124912,2.7186491,79.3,0.0001858471,1.5,0.02628320810993066,0.003130804,-0.012333681,155.15434377093214
-0.0010865813,2.7109904,79.3,0.00018067592,1.5,0.0278868377424905,0.0047023143,-0.013689096,151.34338373451442
-0.00013471034,2.7072926,97.5,0.00017674966,1.5,0.015625533067289407,0.0059233755,-0.013125431,189.96352649648753
-0.0008180556,2.7076821,103.85,0.00017329029,1.5,0.006744830998985359,0.0037409568,-0.0093690455,213.90316918995214
-0.00038820098,2.7040699,103.6,0.0001671116,1.5,0.01360565910914428,0.002109771,-0.0074121626,213.56287654596343
-4.496685e-05,2.7053618,108.95,0.00016265981,1.5,0.0029490249785113745,0.0056704064,-0.0126810605,226.12069181873866
-0.0008303765,2.7048826,114.45,0.00015881703,1.5,0.004218882470043754,0.0043189204,-0.010769922,236.33225225156238
2.9242185e-06,2.7041028,117.85,0.00015580967,1.5,0.012808185028178671,0.0027836438,-0.008640603,244.78935495633726
-4.3972137e-05,2.706757,116.55,0.00015207492,1.5,0.00847576937214256,0.005423141,-0.013674632,249.30833522477468
-0.0008961198,2.7014103,122.4,0.00014868479,1.5,0.003725555097838224,0.004581391,-0.011683319,249.48119014151817
7.220275e-05,2.698623,140.95,0.00014913059,2.25,0.010690778295313612,0.007843486,-0.017241107,285.1016641546254
-0.00090315565,2.6987069,133.95,0.00014683281,2.25,0.014098487561250329,0.0021708487,-0.0077593597,284.89416762697675
-0.00017023632,2.6940627,138.85,0.00014745719,1.5,0.010353446833582405,0.0014084659,-0.007861211,299.91490120503465
-0.00031852318,2.6988537,144.3,0.00014743887,2.25,0.008917394636225016,0.0064469813,-0.011147797,310.5820441699775
-0.00027237047,2.694765,147.0,0.00014318252,2.25,0.017356436925686537,0.0023926971,-0.0078353435,317.7955084203696
4.0387946e-05,2.68264,149.85,0.00014152426,2.25,0.009239440793858727,0.0030412197,-0.009211374,322.2975127303898
-0.00044233378,2.6710443,153.0,0.00014379423,2.25,0.007438100087634567,0.0020094204,-0.009182687,339.9326938833261
-0.0005239418,2.6655908,161.05,0.00014083188,2.25,0.0029625848721006242,0.0018310118,-0.0073050247,353.1663757031437
-0.00010775543,2.6662827,152.25,0.00013729768,1.5,0.002624259917308343,0.0011832754,-0.0058041387,344.4551153506878
-0.001210215,2.6638281,153.7,0.00013555742,1.5,0.005034760637479448,0.004716628,-0.010680564,335.4919214121416
-0.00018868683,2.6623695,155.7,0.0001336158,1.5,0.0016947839747842202,0.0021982598,-0.007210031,338.6880058179183
-0.00024584326,2.6623545,149.75,0.00013401001,1.5,0.008094040413745965,0.0038735096,-0.011368096,348.2877946689544
-0.00038697477,2.666357,151.95,0.00013345662,1.5,0.008275467519926848,0.0027941458,-0.009032141,340.66988004827635
-0.0003334579,2.663999,156.05,0.00013065674,1.5,0.004181185628137496,0.0018156146,-0.008172942,360.6267861981042
-9.851649e-05,2.6503263,152.25,0.0001288308,1.5,0.007258078475981765,0.003963171,-0.010871002,352.793847190965
-0.00019703338,2.6482577,152.45,0.00012951609,1.5,0.006646788344751134,0.002495805,-0.0071392045,367.0403480338662
-0.0005310748,2.6459498,163.75,0.000129367,1.5,0.00854068848761781,0.001990066,-0.008112632,382.052261258511
-0.0008572483,2.6457176,160.7,0.00012845907,1.5,0.0370048580135902,0.0029994678,-0.0071273157,386.03452190964447
-0.001217103,2.6496027,157.25,0.00012865732,1.5,0.009707542383223479,0.0021079392,-0.007881973,371.66201114555736
-0.00029831086,2.6512485,172.8,0.0001269334,1.5,0.028745518655495957,0.002772537,-0.008947331,409.8738136126987
-0.00070119114,2.6474242,172.4,0.00012537747,1.5,0.017319292658502333,0.002282546,-0.007463911,404.8600175456324
-0.00025416815,2.648254,192.65,0.00012459458,1.5,0.042050184721263484,0.003318364,-0.010251215,467.37587528582026
-0.0010665412,2.652221,193.05,0.00012421257,1.5,0.023945716767946528,0.0031138002,-0.008183343,469.2186198161051
-0.00079871755,2.6519413,249.1,0.00012534093,1.5,0.06602317397894795,0.002124362,-0.0065959333,588.2982907679414
-0.0008790186,2.6541502,243.45,0.00012486942,1.5,0.06077137053715865,0.0048426436,-0.0083389245,609.7301894728465
-0.00019961642,2.6474621,189.8,0.00012386056,1.5,0.1324215577908967,0.0046952697,-0.010231777,426.91602867887923
-0.00017648292,2.6431131,225.65,0.00012263954,1.5,0.08258191933022142,0.0047148974,-0.009907933,544.5749198011661
