value_func_loss,kl,beta,critic_loss,policy_ppo_loss,entropy,rewards,steps,policy_ddpg_loss
0.0028915455449358006,0.0062013087,1.5,0.0020155187,-0.03183747,2.7365978,19.42856664068635,22.9,0.0027813688
0.008775632680278242,0.00468982,1.5,0.0008079534,-0.024174988,2.7354057,31.1623242325685,28.95,0.0026274964
0.010618457604735974,0.0050260196,1.5,0.0005878806,-0.035597313,2.7291007,32.702295171712464,27.95,0.004199293
0.015345687297937631,0.003942048,1.5,0.000550458,-0.027869303,2.713228,41.312548334005704,33.3,0.0031692022
0.012003554485132677,0.0033105821,1.5,0.0005292495,-0.023853233,2.7088556,59.18573529547791,41.75,0.0046284953
0.03048882855813941,0.003616039,1.5,0.00047973133,-0.022221439,2.6989303,82.75495766254093,54.3,0.0041284356
0.033762514903785575,0.0024377878,1.5,0.0004251835,-0.020780345,2.6844802,91.79848357933568,59.05,0.004224168
0.03831574739342113,0.0047116596,1.5,0.0004243601,-0.024119169,2.6779065,73.04707975852386,49.0,0.0050103683
0.024912874603804952,0.0048139556,1.5,0.00041573768,-0.022008205,2.665871,120.41976874607624,70.15,0.004561831
0.04799179961956547,0.0026331802,1.5,0.00037175036,-0.015130829,2.6586225,148.86437377322903,79.9,0.004217209
0.024691054031166053,0.0032423004,1.5,0.00034874256,-0.01888955,2.6558673,184.80594027961556,92.25,0.0038794903
0.030517144154350567,0.003304689,1.5,0.00032675266,-0.014911534,2.6530185,164.57996179792462,83.35,0.0051240413
0.019001171389294726,0.003893763,1.5,0.0003118288,-0.017373186,2.647509,184.24410296676243,89.0,0.004823195
0.012379892207035021,0.004485825,1.5,0.0002940097,-0.019285206,2.640873,201.32564124567503,95.2,0.004989768
0.0045354642414772,0.001782264,1.5,0.00028665282,-0.01671762,2.6277692,205.5194815155174,93.6,0.005115393
0.01201238808667744,0.0027632404,1.5,0.00027465876,-0.013466759,2.6286607,208.1152454695929,100.1,0.0053937323
0.0014143643289712834,0.0029667297,1.5,0.0002676959,-0.01973255,2.63725,222.6946891684027,104.1,0.005494024
0.0005902543581976506,0.0035941708,1.5,0.00026669962,-0.015152111,2.6407604,227.27589151280455,109.9,0.007247555
0.0007174576783989364,0.008224089,2.25,0.00025441166,-0.01951798,2.6438403,230.4428290628513,112.25,0.004308086
0.039804205201637216,0.004500727,2.25,0.00026163552,-0.014847538,2.6475406,180.21866186334245,126.6,0.0049972776
0.011576566203322102,0.002011965,2.25,0.0002543319,-0.018974636,2.6468933,232.5389854617769,128.55,0.005739207
0.006776387706583294,0.0014025308,1.5,0.00024607623,-0.011689077,2.6368244,230.05546042980023,119.7,0.005092052
0.001717504238179222,0.0023295754,1.5,0.00023582036,-0.014131162,2.6274173,240.48676649205171,120.25,0.0046497094
0.007226788873518055,0.001591055,1.5,0.00022595364,-0.007905714,2.6200368,245.39005908972567,128.8,0.004708459
0.0021254490139696897,0.0035351529,1.5,0.00021995246,-0.015621336,2.617178,257.13337797013565,134.7,0.004672489
0.006679471652448362,0.0028917324,1.5,0.00021721161,-0.013671673,2.6205518,271.73404766531553,155.8,0.005468337
