steps,policy_ddpg_loss,rewards,policy_ppo_loss,critic_loss,value_func_loss,beta,entropy,kl
30.3,0.0008904108,31.53020288816011,-0.024541771,0.0008132386,0.021510390947849123,1.0,2.7364814,0.0044541624
24.45,-0.00061100634,20.62369712044321,-0.028903766,0.0002594347,0.005587953738011831,1.0,2.7295995,0.005197326
31.6,0.0005702787,33.61210905318269,-0.021137664,0.00022129252,0.012734974870106459,1.0,2.7212517,0.002466638
27.3,-0.00090638886,18.261110390939933,-0.015934978,0.00018091404,0.002562993781766224,1.0,2.710665,0.0033343697
43.25,0.0017206967,49.04827975285072,-0.017949628,0.0001683803,0.01588660243122521,1.0,2.697067,0.0030195501
51.25,0.0015948231,68.41450566076564,-0.013784999,0.00016947502,0.011725440507631356,1.0,2.693094,0.0021643736
46.65,0.000115828196,64.81512577052277,-0.021983951,0.00015418712,0.01474947812880804,1.5,2.6857715,0.007963434
64.2,0.0011836275,96.55307578496448,-0.0116296355,0.00015147745,0.01341397958884236,1.5,2.6739364,0.0026374308
57.85,0.00028522508,89.83237763988771,-0.013154661,0.0001436295,0.011008689702907365,1.5,2.6504724,0.002948303
65.65,0.0010909465,100.0663808074947,-0.010529684,0.00014008525,0.009971499678249425,1.5,2.6429708,0.0015491113
66.6,0.0012087711,96.8148483362726,-0.013268889,0.00013685004,0.011635409226663944,1.5,2.632232,0.0038636755
61.15,0.0009848205,98.22972572837992,-0.010709846,0.00013519685,0.009628656204617109,1.5,2.6235216,0.001678052
77.2,0.0018311326,132.31625743291232,-0.0141810365,0.00013633842,0.01935870724796839,1.5,2.6316433,0.0029548944
75.5,0.0014653788,131.76550463660504,-0.013014799,0.00013818087,0.02558383196952293,1.5,2.6401837,0.0039857775
86.4,0.00085723854,157.46295287267796,-0.00964364,0.00014319655,0.03198976469407731,1.5,2.6407897,0.0023367952
76.35,0.0009132455,142.56914682806823,-0.010257095,0.00013918895,0.0357449044297821,1.5,2.644414,0.0030944254
90.0,0.0011764717,181.71470824239404,-0.008746369,0.00014077268,0.01962584700852764,1.5,2.6426764,0.0024172778
93.45,0.0013259061,178.49426615029566,-0.007304636,0.000140142,0.025037582692724637,1.0,2.6494539,0.0014488375
96.4,0.0012519913,198.7219849119228,-0.013430359,0.00014242447,0.01307288274319797,1.0,2.6399107,0.0055281087
95.05,0.0011910999,192.8647962786734,-0.013206212,0.00013848222,0.019055497651502218,1.5,2.625691,0.008675214
99.8,0.0013336887,212.1252312536605,-0.011953377,0.0001347492,0.007611042559226023,1.5,2.620289,0.00308995
92.7,0.0016754596,196.39422068245523,-0.012957309,0.00013500903,0.014833694640239517,1.5,2.6106668,0.0043538082
109.05,0.0018935181,225.20697302927266,-0.01003987,0.00013563831,0.005998813944448308,1.5,2.6112394,0.002372649
105.9,0.0018294295,218.57587951046725,-0.008403881,0.00012875987,0.005937827573124773,1.5,2.6066222,0.002759777
121.8,0.002269786,240.2463029037871,-0.008962354,0.00013340623,0.001230883830045785,1.0,2.6039453,0.0013708532
123.4,0.0017602844,244.78688359890558,-0.01722914,0.00012936346,0.0022854776926458124,1.5,2.6023304,0.009304118
153.15,0.0013916785,281.650473968671,-0.012481619,0.00012902649,0.021373816582840856,1.5,2.598706,0.0044905283
164.85,0.0020195842,306.09007892997886,-0.011404061,0.00012602092,0.007601070181773282,1.5,2.5948906,0.004489101
160.55,0.002409947,301.31162477631824,-0.01199751,0.00012468398,0.01491289594203747,1.5,2.5892723,0.004334647
154.95,0.002756532,320.65937367739133,-0.014134511,0.00012336903,0.014016904416945636,2.25,2.592569,0.006376731
191.6,0.002433005,377.22181642955195,-0.0085115945,0.00012295751,0.00371980325261106,2.25,2.5884066,0.0017306545
174.4,0.0026138201,356.54056591047964,-0.006906855,0.00012393518,0.006132655570515033,1.5,2.5789702,0.0014248556
175.5,0.0023228256,356.61079644006793,-0.012988599,0.000120947145,0.006610101295932005,1.5,2.5753517,0.0035376796
178.5,0.0023412409,368.7150472003879,-0.0074106264,0.00012139516,0.002161993289206422,1.0,2.5747108,0.0013760722
176.45,0.0022144658,368.57477095346707,-0.011592125,0.00011966937,0.000960319042842766,1.5,2.572783,0.0062033692
193.3,0.0017285685,389.38089276414956,-0.008114684,0.000121424775,0.0015851322133542058,1.5,2.5706532,0.0017127348
204.15,0.000747607,394.8257047523671,-0.005696336,0.000119218064,0.011563930045289684,1.5,2.5787573,0.0031444933
