value_func_loss,entropy,rewards,kl,steps,policy_loss,beta
0.0027406462933304457,3.6758664,-47.5,0.0042941193,50.0,-0.04261492,1.0
0.0015800903543235457,3.6606731,-49.2,0.004980898,50.0,-0.036409955,1.0
0.0002719444459593496,3.6363916,-49.9,0.0055033728,50.0,-0.031496424,1.0
0.00011163244830474689,3.6236863,-49.55,0.0017246818,50.0,-0.01832012,1.0
8.462719842824126e-05,3.616601,-48.9,0.0018701949,50.0,-0.019902209,1.0
4.599927261727107e-05,3.5998688,-49.35,0.003677298,50.0,-0.025952214,1.0
0.00010274622054354212,3.5873802,-47.1,0.0024936472,50.0,-0.018268315,1.0
6.59143011152489e-05,3.5765495,-49.45,0.005972498,50.0,-0.025526565,1.0
5.232730549911224e-05,3.5716062,-49.2,0.004065292,50.0,-0.028756915,1.0
3.7775909021056456e-05,3.5813417,-48.7,0.0022437847,50.0,-0.021844596,1.0
6.038406140184888e-05,3.577129,-49.35,0.0022804546,50.0,-0.020536153,1.0
3.8609596110788074e-05,3.565359,-49.15,0.0072373697,50.0,-0.02415972,1.5
0.00011332669519726743,3.5657244,-47.7,0.012670534,50.0,-0.037405305,2.25
3.4566437382213734e-05,3.5787024,-48.95,0.0022001292,50.0,-0.01580634,2.25
3.4106966001304875e-05,3.5818517,-49.5,0.0046855723,50.0,-0.023718592,2.25
3.8918111910354656e-05,3.5827265,-49.05,0.002489121,50.0,-0.018955491,2.25
0.00012477136949350665,3.5879488,-46.7,0.0031623922,50.0,-0.018268133,2.25
0.00013739236965397812,3.5891404,-47.4,0.0021854597,50.0,-0.018599318,2.25
5.309033769642746e-05,3.5924802,-49.2,0.007972364,50.0,-0.028209822,3.375
5.389790124845262e-05,3.596331,-48.55,0.0055745905,50.0,-0.023809455,3.375
4.603756271458907e-05,3.5938876,-48.6,0.003625672,50.0,-0.0211888,3.375
0.0001342879294987475,3.6042848,-47.5,0.0027385736,50.0,-0.02217376,3.375
9.841284661014412e-05,3.608399,-47.9,0.0024326872,50.0,-0.018427346,3.375
0.00015332318144257174,3.6131206,-46.65,0.0026770611,50.0,-0.024603616,3.375
0.00018898659786710647,3.6104178,-47.0,0.003808884,50.0,-0.024551157,3.375
9.499467817195958e-05,3.5833666,-47.5,0.0059636557,50.0,-0.032091625,3.375
0.00014416814583747767,3.581113,-45.45,0.0049419086,50.0,-0.029879121,3.375
0.00032624210729019607,3.56393,-43.45,0.0047106333,50.0,-0.026366957,3.375
0.00046215574004161887,3.5512776,-42.8,0.005692784,50.0,-0.043825448,3.375
0.000230457317721664,3.5437388,-42.85,0.012773197,50.0,-0.036071155,5.0625
0.0004120260009910154,3.525045,-41.0,0.0052472455,50.0,-0.02835628,5.0625
0.0002464852287068439,3.5012727,-44.3,0.0058141844,50.0,-0.03593245,5.0625
0.00016312668494185961,3.4839246,-45.25,0.0048526963,50.0,-0.03307476,5.0625
